,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments
0,2Mhaxcx8iH4,Δήλωση Αλέξη Χαρίτση για στρατιωτικούς εξοπλισμούς | 29.01.2024,2024-01-29T13:36:49Z,"Στο δημόσιο διάλογο στη χώρα μας υπάρχει διαχρονικά ένα ταμπού.  Να μην συζητάμε για την κούρσα των στρατιωτικών εξοπλισμών.  Και αυτό η χώρα μας έχει πληρώσει πολύ ακριβά.
 Σήμερα βρισκόμαστε μπροστά στην επανάληψη λαθών προηγούμενων δεκαετιών.  Λαθών που οδήγησαν στη χρεοκοπία της χώρας. Διότι μπορεί ο κύριος Μητσοτάκης να πανηγυρίζει για τη συμφωνία για τα F-35, oυδείς όμως γνωρίζει σήμερα ποιο θα είναι τελικά το κόστος που θα επωμιστεί ο Έλληνας φορολογούμενος.

 Ξεκινήσαμε από τα 3,5 δισεκατομμύρια για να φτάσουμε στα 9 δισ. ενώ, σύμφωνα με δημοσιεύματα, το τελικό συνολικό κόστος μπορεί να ξεπεράσει ακόμα και τα 30 δισεκατομμύρια ευρώ.

Είναι εξοργιστικό μία τέτοια συμφωνία να υλοποιείται εν κρυπτώ, όπως συνηθίζει η σημερινή κυβέρνηση, χωρίς να έχει υπάρξει μία σοβαρή συζήτηση στην Εθνική αντιπροσωπεία. Είναι όμως και εξόχως προβληματικό δυνάμεις της Προοδευτικής, υποτίθεται, αντιπολίτευσης να σύρονται πίσω από τις επιδιώξεις του κυρίου Μητσοτάκη.

 Η Νέα Αριστερά καταθέτει σήμερα επίσημο αίτημα προς τον πρόεδρο της Βουλής για να υπάρξει έκτακτη σύγκληση της επιτροπής εξωτερικών υποθέσεων και Εθνικής Άμυνας έτσι ώστε ο αρμόδιος Υπουργός Εθνικής Άμυνας να ενημερώσει ενδελεχώς για το περιεχόμενο της επιστολής Μπλίνκεν και το πρόγραμμα στρατιωτικών εξοπλισμών που αυτή περιλαμβάνει.

 Η στάση της Νέας Αριστεράς να μην δώσει λευκή επιταγή στην κυβέρνηση για τα εξοπλιστικά προγράμματα κατά την ψήφιση του προϋπολογισμού του 2024 δικαιώνεται απολύτως. Δεν θα επιτρέψουμε να φορτωθούν οι επόμενες γενιές το δυσθεώρητο κόστος μιας ασαφούς και θολής συμφωνίας. Όχι ξανά",[],384.0,25.0,0.0,4.0
1,m5R_rTQ1ziQ,"Συνέντευξη στο ""Action24 "" | 25.01.2024",2024-01-25T19:19:54Z,Ζωντανά η συνέντευξή μου στο Action24 και στον δημοσιογάφο Serafeim Kotrotsos,[],504.0,26.0,0.0,0.0
2,RfmMWlyeE2o,"Συνέντευξη στον τ/στ ""ΚΡΗΤΗ TV"" | 24.01.2024",2024-01-25T10:06:59Z,"Συνέντευξη στον τ/στ ""ΚΡΗΤΗ TV""  και στη δημοσιογράφο Κατερίνα Σαλαπάτα",[],379.0,20.0,0.0,0.0
3,a9ZSk4cFTcI,Επιστολική Ψήφος - Ομιλία στην Ολομέλεια της Βουλής | 23.01.24,2024-01-23T11:42:24Z,"Ομιλία του Προέδρου της Κ.Ο. Νέα Αριστερά στην Ολομέλεια της Βουλής , Αλέξη Χαρίτση,στη συζήτηση και ψήφιση του σ/ν του Υπουργείου Εσωτερικών: «Εκλογή ευρωβουλευτών, διευκόλυνση εκλογέων μέσω επιστολικής ψήφου, εκκαθάριση εκλογικών καταλόγων και λοιπές διατάξεις του Υπουργείου Εσωτερικών»",[],589.0,30.0,0.0,0.0
4,Dg9VWFOBduE,Περιοδεία στην Βόρεια Εύβοια| 20.01.24,2024-01-21T10:18:57Z,"🛑Β. #Εύβοια: Ένα νησί μέσα στο νησί αποκομμένο από τον έξω κόσμο. Η φωνή των πολιτών της πρέπει να ακουστεί. Η Νέα Αριστερά είναι εδώ γι’ αυτόν ακριβώς τον λόγο.
#Βουλή",[],136.0,13.0,0.0,0.0
5,NTL1PL-6S4o,"Συνέντευξη στον τ/στ ""Star Κεντρικής Ελλάδας"" | 18.01.2024",2024-01-18T21:09:54Z,▶️ Συνέντευξη στο κεντρικό δελτίο ειδήσεων του Star Kentrikis Elladas και στην δημοσιογράφο Λένα Παρασκευά Νέα Αριστερά,[],378.0,17.0,0.0,0.0
6,NVMGwSSpLMY,"Συνέντευξη στο ""BEST TV"" | 15.01.24",2024-01-16T18:09:24Z,Συνέντευξη στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Γεωργία Αναγνωστοπούλου,[],295.0,17.0,0.0,0.0
7,5FWhNpBONm8,"Ομιλία  εκδήλωση ""ΝΕΑ ΑΡΙΣΤΕΡΑ"" Καλαμάτα | 15.01.2024",2024-01-16T11:49:53Z,,[],662.0,31.0,0.0,0.0
8,GKmOcghYEws,"Συνέντευξη στο ""Action24 "" | 15.01.2024",2024-01-15T07:51:44Z,Ζωντανά η συνέντευξή μου στο Action24 και στους δημοσιογάφους Γιώργος Κακούσης & Άννα Λιβαθινού,[],697.0,29.0,0.0,0.0
9,-oF4lITKH50,"Συνέντευξη στον τ/στ ""OPEN TV"" | 13.01.2024",2024-01-13T07:27:48Z,📺 Συνέντευξη στoOPENN ΤV και στους Ευλαμπία Ρέβη & Σπύρο Χαριτάτο,[],805.0,21.0,0.0,0.0
