,Unnamed: 0,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
0,0,2Mhaxcx8iH4,Δήλωση Αλέξη Χαρίτση για στρατιωτικούς εξοπλισμούς | 29.01.2024,2024-01-29 13:36:49+00:00,"Στο δημόσιο διάλογο στη χώρα μας υπάρχει διαχρονικά ένα ταμπού.  Να μην συζητάμε για την κούρσα των στρατιωτικών εξοπλισμών.  Και αυτό η χώρα μας έχει πληρώσει πολύ ακριβά.
 Σήμερα βρισκόμαστε μπροστά στην επανάληψη λαθών προηγούμενων δεκαετιών.  Λαθών που οδήγησαν στη χρεοκοπία της χώρας. Διότι μπορεί ο κύριος Μητσοτάκης να πανηγυρίζει για τη συμφωνία για τα F-35, oυδείς όμως γνωρίζει σήμερα ποιο θα είναι τελικά το κόστος που θα επωμιστεί ο Έλληνας φορολογούμενος.

 Ξεκινήσαμε από τα 3,5 δισεκατομμύρια για να φτάσουμε στα 9 δισ. ενώ, σύμφωνα με δημοσιεύματα, το τελικό συνολικό κόστος μπορεί να ξεπεράσει ακόμα και τα 30 δισεκατομμύρια ευρώ.

Είναι εξοργιστικό μία τέτοια συμφωνία να υλοποιείται εν κρυπτώ, όπως συνηθίζει η σημερινή κυβέρνηση, χωρίς να έχει υπάρξει μία σοβαρή συζήτηση στην Εθνική αντιπροσωπεία. Είναι όμως και εξόχως προβληματικό δυνάμεις της Προοδευτικής, υποτίθεται, αντιπολίτευσης να σύρονται πίσω από τις επιδιώξεις του κυρίου Μητσοτάκη.

 Η Νέα Αριστερά καταθέτει σήμερα επίσημο αίτημα προς τον πρόεδρο της Βουλής για να υπάρξει έκτακτη σύγκληση της επιτροπής εξωτερικών υποθέσεων και Εθνικής Άμυνας έτσι ώστε ο αρμόδιος Υπουργός Εθνικής Άμυνας να ενημερώσει ενδελεχώς για το περιεχόμενο της επιστολής Μπλίνκεν και το πρόγραμμα στρατιωτικών εξοπλισμών που αυτή περιλαμβάνει.

 Η στάση της Νέας Αριστεράς να μην δώσει λευκή επιταγή στην κυβέρνηση για τα εξοπλιστικά προγράμματα κατά την ψήφιση του προϋπολογισμού του 2024 δικαιώνεται απολύτως. Δεν θα επιτρέψουμε να φορτωθούν οι επόμενες γενιές το δυσθεώρητο κόστος μιας ασαφούς και θολής συμφωνίας. Όχι ξανά",[],384.0,25.0,0.0,4.0,2024-01-29,13:36:49,0.06510416666666667,0.010416666666666666,0.0,179.85000000000002
1,1,m5R_rTQ1ziQ,"Συνέντευξη στο ""Action24 "" | 25.01.2024",2024-01-25 19:19:54+00:00,Ζωντανά η συνέντευξή μου στο Action24 και στον δημοσιογάφο Serafeim Kotrotsos,[],504.0,26.0,0.0,0.0,2024-01-25,19:19:54,0.051587301587301584,0.0,0.0,233.3
2,2,RfmMWlyeE2o,"Συνέντευξη στον τ/στ ""ΚΡΗΤΗ TV"" | 24.01.2024",2024-01-25 10:06:59+00:00,"Συνέντευξη στον τ/στ ""ΚΡΗΤΗ TV""  και στη δημοσιογράφο Κατερίνα Σαλαπάτα",[],379.0,20.0,0.0,0.0,2024-01-25,10:06:59,0.052770448548812667,0.0,0.0,175.55
3,3,a9ZSk4cFTcI,Επιστολική Ψήφος - Ομιλία στην Ολομέλεια της Βουλής | 23.01.24,2024-01-23 11:42:24+00:00,"Ομιλία του Προέδρου της Κ.Ο. Νέα Αριστερά στην Ολομέλεια της Βουλής , Αλέξη Χαρίτση,στη συζήτηση και ψήφιση του σ/ν του Υπουργείου Εσωτερικών: «Εκλογή ευρωβουλευτών, διευκόλυνση εκλογέων μέσω επιστολικής ψήφου, εκκαθάριση εκλογικών καταλόγων και λοιπές διατάξεις του Υπουργείου Εσωτερικών»",[],589.0,30.0,0.0,0.0,2024-01-23,11:42:24,0.050933786078098474,0.0,0.0,272.55
4,4,Dg9VWFOBduE,Περιοδεία στην Βόρεια Εύβοια| 20.01.24,2024-01-21 10:18:57+00:00,"🛑Β. #Εύβοια: Ένα νησί μέσα στο νησί αποκομμένο από τον έξω κόσμο. Η φωνή των πολιτών της πρέπει να ακουστεί. Η Νέα Αριστερά είναι εδώ γι’ αυτόν ακριβώς τον λόγο.
#Βουλή",[],136.0,13.0,0.0,0.0,2024-01-21,10:18:57,0.09558823529411764,0.0,0.0,64.45
5,5,NTL1PL-6S4o,"Συνέντευξη στον τ/στ ""Star Κεντρικής Ελλάδας"" | 18.01.2024",2024-01-18 21:09:54+00:00,▶️ Συνέντευξη στο κεντρικό δελτίο ειδήσεων του Star Kentrikis Elladas και στην δημοσιογράφο Λένα Παρασκευά Νέα Αριστερά,[],378.0,17.0,0.0,0.0,2024-01-18,21:09:54,0.04497354497354497,0.0,0.0,174.35
6,6,NVMGwSSpLMY,"Συνέντευξη στο ""BEST TV"" | 15.01.24",2024-01-16 18:09:24+00:00,Συνέντευξη στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Γεωργία Αναγνωστοπούλου,[],295.0,17.0,0.0,0.0,2024-01-16,18:09:24,0.0576271186440678,0.0,0.0,137.0
7,7,5FWhNpBONm8,"Ομιλία  εκδήλωση ""ΝΕΑ ΑΡΙΣΤΕΡΑ"" Καλαμάτα | 15.01.2024",2024-01-16 11:49:53+00:00,,[],662.0,31.0,0.0,0.0,2024-01-16,11:49:53,0.04682779456193353,0.0,0.0,305.65000000000003
8,8,GKmOcghYEws,"Συνέντευξη στο ""Action24 "" | 15.01.2024",2024-01-15 07:51:44+00:00,Ζωντανά η συνέντευξή μου στο Action24 και στους δημοσιογάφους Γιώργος Κακούσης & Άννα Λιβαθινού,[],697.0,29.0,0.0,0.0,2024-01-15,07:51:44,0.04160688665710186,0.0,0.0,320.90000000000003
9,9,-oF4lITKH50,"Συνέντευξη στον τ/στ ""OPEN TV"" | 13.01.2024",2024-01-13 07:27:48+00:00,📺 Συνέντευξη στoOPENN ΤV και στους Ευλαμπία Ρέβη & Σπύρο Χαριτάτο,[],805.0,21.0,0.0,0.0,2024-01-13,07:27:48,0.02608695652173913,0.0,0.0,367.5
