,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
0,MqaTX7L0AMo,Εκδήλωση της ΝΙΚΗΣ στο Βόλο,2024-01-30 18:36:22+00:00,"Εκδήλωση στο Βόλο πραγματοποίησε η Τοπική Κοινότητα Μαγνησίας της ΝΙΚΗΣ το Σάββατο 13 Ιανουαρίου 2024. 

Θέμα της Εκδήλωσης «Η Ρωμιοσύνη ενάντια στον Ολοκληρωτισμό»: 
- Ροζ Ολοκληρωτισμός σε σχολεία και με γάμους ομοφυλοφίλων,
- Δημογραφικός Ολοκληρωτισμός με αντικατάσταση Ελλήνων και
- Ψηφιακός Ολοκληρωτισμός με ταυτότητα-κάρτα πολίτη.

Κεντρικός ομιλητής ήταν ο Πρόεδρος της ΝΙΚΗΣ Δημήτρης Νατσιός, ενώ μίλησαν και οι:
- Νικόλαος Παπαδόπουλος, βουλευτής Β' Θεσσαλονίκης της ΝΙΚΗΣ και
- Δημήτρης Χιωτακάκος, Δρ Πληροφορικής και Τηλεπικοινωνιών 

Την εκδήλωση άνοιξε ο Υπεύθυνος της Τοπικής Κοινότητας Μαγνησίας της ΝΙΚΗΣ, Απόστολος Γιωτάκος, ενώ την παρουσίαση των ομιλητών έκανε η Ελένη Σκουριά, Τομεάρχης Παιδείας της ΝΙΚΗΣ.",[],604,144,0,9,2024-01-30,18:36:22,0.23841059602649006,0.014900662251655629,0.0,309.6
1,-OoMPa4k8aU,Ποδοσφαιροκεντρικός χαρακτήρας του ν/σ χωρίς να υπολογίζει την εκτός γηπέδου βία και άλλα αθλήματα,2024-01-30 18:20:18+00:00,"Εισήγηση του Ανδρέα Βορύλλα, βουλευτή Β2 Δυτικού Τομέα Αθηνών της ΝΙΚΗΣ, στην Διαρκή Επιτροπή Μορφωτικών Υποθέσεων, για το σχέδιο νόμου του Υπουργείου Παιδείας, Θρησκευμάτων και Αθλητισμού «Κύρωση της από 11.12.2023 Πράξης Νομοθετικού Περιεχομένου «Έκτακτα μέτρα απαγόρευσης διάθεσης εισιτηρίων και παρουσίας θεατών σε αγώνες ποδοσφαίρου για επιτακτικούς λόγους προστασίας της δημόσιας τάξης και ασφάλειας» (Α’ 203) - Λήψη μέτρων για την αποτροπή και αντιμετώπιση της βίας στο πλαίσιο αθλητικών συναντήσεων και λοιπές ρυθμίσεις αρμοδιότητας Υπουργείου Παιδείας, Θρησκευμάτων και Αθλητισμού» (29.1.2024).",[],87,20,0,2,2024-01-30,18:20:18,0.22988505747126436,0.022988505747126436,0.0,44.55
2,HjJ1_jiVis4,"28 Ιανουαρίου 2008, ο Αρχιεπίσκοπος Χριστόδουλος αναχωρεί για την ουράνια πατρίδα.",2024-01-29 01:00:56+00:00,"28 Ιανουαρίου 2008, ο Αρχιεπίσκοπος Χριστόδουλος αναχωρεί για την ουράνια πατρίδα.

Κατάφερε με μοναδικό τρόπο να ενώσει τους Έλληνες. Οι επώνυμες υπογραφές που συγκέντρωσε υπερασπιζόμενος τις ελευθερίες του ελληνικού λαού, ήταν περισσότερες από τις ανώνυμες ψήφους που έλαβε οποιοσδήποτε πρωθυπουργός της μεταπολίτευσης.

Κατάφερε με μοναδικό τρόπο να εμπνεύσει και να αγκαλιάσει τους νέους. Η δημόσια συγγνώμη που τους ζήτησε εκ μέρους όλης της γενιάς του, στάθηκε για πολλούς ο συγκινητικότερος δημόσιος λόγος της νεότερης ελληνικής ιστορίας.

Κατάφερε με μοναδικό τρόπο να αφυπνίσει τον πανταχόθεν βαλλόμενο Ελληνισμό, κεντρίζοντας το φιλότιμο και την αγωνιστικότητα του καθενός μας. «Σταθήτε όλοι όρθιοι στις επάλξεις σας και μην ξεπουλήσετε τα πρωτοτόκιά μας. Για να ξαναβρούμε ό,τι έχουμε χάσει, για να υπερασπισθούμε ό,τι κινδυνεύει.»

Αιωνία του η μνήμη. Την ευχή του να έχουμε.",[],1921,244,0,21,2024-01-29,01:00:56,0.12701717855283706,0.010931806350858927,0.0,929.6500000000001
3,GrItNqP4mpM,«Γάμος» και τεκνοθεσία ομοφυλόφιλων ζευγαριών: Ο Δημήτρης Νατσιός απαντά σε καίρια ερωτήματα,2024-01-27 11:49:06+00:00,"Συνέντευξη του προέδρου της ΝΙΚΗΣ Δημήτρη Νατσιού, στην εκπομπή ""Επόμενη Μέρα"" με τον Σεραφείμ Κοτρώτσο στο Action24 (26/1/2024).",[],5490,579,0,135,2024-01-27,11:49:06,0.10546448087431694,0.02459016393442623,0.0,2642.25
4,ZGx3kJVsClA,Καμία απάντηση από τον πρόεδρο της ΕΠΟ στις ερωτήσεις του βουλευτή της ΝΙΚΗΣ Ανδρέα Βορύλλα,2024-01-26 10:07:51+00:00,"Εισήγηση του Ανδρέα Βορύλλα, βουλευτή Β2 Δυτικού Τομέα Αθηνών της ΝΙΚΗΣ, στην Διαρκή Επιτροπή Μορφωτικών Υποθέσεων, για το σχέδιο νόμου του Υπουργείου Παιδείας, Θρησκευμάτων και Αθλητισμού «Κύρωση της από 11.12.2023 Πράξης Νομοθετικού Περιεχομένου «Έκτακτα μέτρα απαγόρευσης διάθεσης εισιτηρίων και παρουσίας θεατών σε αγώνες ποδοσφαίρου για επιτακτικούς λόγους προστασίας της δημόσιας τάξης και ασφάλειας» (Α’ 203) - Λήψη μέτρων για την αποτροπή και αντιμετώπιση της βίας στο πλαίσιο αθλητικών συναντήσεων και λοιπές ρυθμίσεις αρμοδιότητας Υπουργείου Παιδείας, Θρησκευμάτων και Αθλητισμού» (25.1.2024).",[],943,96,0,4,2024-01-26,10:07:51,0.10180275715800637,0.0042417815482502655,0.0,449.15000000000003
5,utdaF6lDigo,Η ΝΙΚΗ και η ψήφος των αποδήμων,2024-01-25 20:00:31+00:00,"Η ΝΙΚΗ έδωσε την ψήφο στους απόδημους. 
Η ΝΙΚΗ διαφυλάσσει την ψήφο τους από τον κίνδυνο νοθείας. Η συνεπεστερη στάση. 

Απάντηση σε όλους όσοι διαδίδουν ότι η ΝΙΚΗ ενεργεί αντιφατικά ως προς το δικαίωμα ψήφου των αποδήμων. 
Η ΝΙΚΗ συνέβαλε στην αποκατάσταση του δικαιώματος ψήφου του απόδημου ελληνισμού, αλλά επιθυμεί για την υλοποίησή του ένα ασφαλές μοντέλο επιστολικής ψήφου που αφενός μεν θα αποκλείει κάθε κίνδυνο νοθείας, αφετέρου δε θα αποτελεί έναν εναλλακτικό τρόπο άσκησης του δικαιώματος των εκλογέων, παράλληλα με τον παραδοσιακό τρόπο ψηφοφορίας σε εκλογικό τμήμα που είναι και ο κανόνας. 

Ομιλία του κ. Γεώργιου Αποστολάκη, βουλευτή Επικρατείας της ΝΙΚΗΣ, στην Ολομέλεια της Βουλής, για το σχέδιο νόμου του Υπουργείου Εσωτερικών «Εκλογή ευρωβουλευτών, διευκόλυνση εκλογέων μέσω επιστολικής ψήφου, εκκαθάριση εκλογικών καταλόγων και λοιπές διατάξεις του Υπουργείου Εσωτερικών» (24/1/2024).",[],405,68,0,9,2024-01-25,20:00:31,0.16790123456790124,0.022222222222222223,0.0,201.05
6,giLR2eqCXbI,Ο Τάσος Οικονομόπουλος για την Κύρωση Συμφωνίας Σύστ. Ενσωμάτωσης Kεντρ. Αμερικής (SICA),2024-01-25 18:32:35+00:00,"Ομιλία του βουλευτή Α΄ Ανατολικής Αττικής κ. Τάσου Οικονομόπουλου της ΝΙΚΗΣ στην Ολομέλεια της Βουλής, με θέμα «Κύρωση της Συμφωνίας για τη συμμετοχή της Ελληνικής Δημοκρατίας ως παρατηρητή στο Σύστημα Ενσωμάτωσης της Κεντρικής Αμερικής (SICA)» (25.1.2024).",[],808,86,0,4,2024-01-25,18:32:35,0.10643564356435643,0.0049504950495049506,0.0,385.90000000000003
7,MpB28C5LN0o,"ΠΡΕΠΕΙ ΝΑ ΔΙΑΛΕΞΟΥΝ ""ΒΑΡΚΑ"" οι βουλευτές της Νέας Δημοκρατίας",2024-01-25 15:35:11+00:00,"""Η Ιεραρχία έπραξε το αναμενόμενο. Δεν περιμέναμε κάτι διαφορετικό. Εμείς συντασσόμαστε με την απόφαση της Ιερας Συνόδου. Είμαστε ενάντια σε οτιδήποτε προσβάλλει τον ιερό θεσμό της οικογένειας""

O βουλευτής Αχαΐας της ΝΙΚΗΣ, Σπύρος Τσιρώνης, καλεσμένος στο ΣΚΑΪ ΠΑΤΡΑΣ 89,4 και στον Δ. Τριανταφυλλόπουλο.",[],1933,205,0,20,2024-01-25,15:35:11,0.10605276771857217,0.010346611484738748,0.0,925.1
8,7ehr1son9BU,Χρέος τιμής να λάβουμε υπόψιν τα θύματα της αθλητικής βίας πριν ψηφίσουμε για το παρόν νομοσχέδιο,2024-01-24 21:15:34+00:00,"Εισήγηση του Ανδρέα Βορύλλα, βουλευτή Β2 Δυτικού Τομέα Αθηνών της ΝΙΚΗΣ, στην Διαρκή Επιτροπή Μορφωτικών Υποθέσεων, για το σχέδιο νόμου του Υπουργείου Παιδείας, Θρησκευμάτων και Αθλητισμού «Κύρωση της από 11.12.2023 Πράξης Νομοθετικού Περιεχομένου «Έκτακτα μέτρα απαγόρευσης διάθεσης εισιτηρίων και παρουσίας θεατών σε αγώνες ποδοσφαίρου για επιτακτικούς λόγους προστασίας της δημόσιας τάξης και ασφάλειας» (Α’ 203) - Λήψη μέτρων για την αποτροπή και αντιμετώπιση της βίας στο πλαίσιο αθλητικών συναντήσεων και λοιπές ρυθμίσεις αρμοδιότητας Υπουργείου Παιδείας, Θρησκευμάτων και Αθλητισμού» (24.1.2024).",[],529,73,0,5,2024-01-24,21:15:34,0.13799621928166353,0.00945179584120983,0.0,257.3
9,WXPxwJuJbtE,"«Μίλησε η Εκκλησία, η Ορθόδοξη μάνα μας»! - Δημήτρης Νατσιός",2024-01-24 14:50:51+00:00,"«Κυρίες και κύριοι βουλευτές, μίλησε η Ορθόδοξη μάνα μας, η Εκκλησία που και μας γέννησε στην κολυμβήθρα και μας έθρεψε και μας θρέφει όπως κάθε μάνα με το γάλα το παιδί της, με το Σώμα και το Αίμα του Χριστού. Ο Θεός να μας ελεήσει και να μας συγχωρέσει».

Ομιλία του Δημήτρη Νατσιού, προέδρου της ΝΙΚΗΣ, στην Ολομέλεια της Βουλής (24/1/2024).",[],15167,1177,0,161,2024-01-24,14:50:51,0.07760269005076811,0.010615151315355707,0.0,7151.6
