,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
0,GMe42WvJiRQ,Ζωντανά στο One Channel,2024-01-30 20:05:14+00:00,#live,[],133,46,0,0,2024-01-30,20:05:14,0.3458646616541353,0.0,0.0,71.35
1,H7beUN-QHJs,Ζωντανά στο ΕΡΤ News με τον Απόστολο Μαγγηριάδη,2024-01-26 09:05:44+00:00,#live,[],1838,97,0,9,2024-01-26,09:05:44,0.05277475516866159,0.004896626768226333,0.0,853.15
2,u5_CcZT4eFI,Ζωντανά στην Ολομέλεια της Βουλής,2024-01-24 03:21:46+00:00,#live,[],1209,90,0,6,2024-01-24,03:21:46,0.07444168734491315,0.004962779156327543,0.0,567.7500000000001
3,sxXpnRheK84,Ζωντανά στο κεντρικό δελτίο ειδήσεων του Ant1 με τον Νίκο Χατζηνικολάου,2024-01-15 17:49:17+00:00,#live,[],2454,89,0,13,2024-01-15,17:49:17,0.036267318663406684,0.005297473512632437,0.0,1129.1499999999999
4,HgLCiaJu8Ag,Ζωντανά στο Open,2024-01-10 19:39:46+00:00,#live,[],1865,108,0,5,2024-01-10,19:39:46,0.057908847184986595,0.002680965147453083,0.0,867.25
5,Oj5o4JK_MSs,Αγιασμός των Υδάτων στον Κεράτιο Κόλπο,2024-01-06 15:55:15+00:00,,[],1096,61,0,3,2024-01-06,15:55:15,0.055656934306569344,0.002737226277372263,0.0,509.05
6,1fqKFfE7tEk,Συνάντηση με τον Οικουμενικό Πατριάρχη Βαρθολομαίο,2024-01-05 12:03:12+00:00,,[],1495,47,0,13,2024-01-05,12:03:12,0.031438127090301006,0.008695652173913044,0.0,687.1
7,_ugBrHwYNzE,Πρωτοχρονιάτικο μήνυμα του Νίκου Ανδρουλάκη,2023-12-31 11:11:06+00:00,"Το 2024 συμπληρώνονται πενήντα χρόνια από την αποκατάσταση της Δημοκρατίας. Ο καλύτερος τρόπος για να τιμήσουμε αυτήν τη σπουδαία επέτειο για την πατρίδα μας, είναι να αγωνιστούμε για μια δίκαιη κοινωνία με σεβασμό στα ανθρώπινα δικαιώματα και για μία παραγωγική, ανθεκτική, βιώσιμη οικονομική ανάπτυξη.

Χρειαζόμαστε δημιουργικές πολιτικές, που θα απελευθερώνουν τις δυνάμεις της νέας γενιάς, θα διασφαλίζουν ποιοτικό επίπεδο ζωής για όλους τους πολίτες, με ισχυρή δημόσια υγεία και δημόσια παιδεία, που θα απαντούν πειστικά στο μείζον ζήτημα του δημογραφικού και της κλιματικής κρίσης. 

Σήμερα, περισσότερο από ποτέ έχουμε χρέος ως Πολιτεία να οικοδομήσουμε τη συλλογική μας ευημερία σε πιο γερά θεμέλια για να αντέχουμε στις παγκόσμιες αναταράξεις.

Όμως, για να πετύχουμε σε όλα αυτά απαιτείται αξιόπιστο προοδευτικό σχέδιο, που θα έχει ως πυξίδα την αλληλεγγύη και την κοινωνική δικαιοσύνη.

Όλα αυτά αποκτούν ιδιαίτερη σημασία σε ένα παγκόσμιο περιβάλλον αυξανόμενων εντάσεων, με δύο ενεργές πολεμικές εστίες στην ευρύτερη γειτονιά μας και μια Ευρώπη που αναζητά τη θέση της σε έναν κόσμο ραγδαίων αλλαγών.

Εύχομαι η νέα χρονιά να βρει την ανθρωπότητα με περισσότερη ειρήνη και ευημερία και να γίνει για την πατρίδα μας το εφαλτήριο μιας νέας, ελπιδοφόρας πορείας. 

Χρόνια πολλά με υγεία και χαρά σε εσάς και τις οικογένειές σας!",[],638,79,0,4,2023-12-31,11:11:06,0.1238244514106583,0.006269592476489028,0.0,307.65000000000003
8,tpWIt8UlUm0,Χριστουγεννιάτικα κάλαντα στο ΠΑΣΟΚ από τον χορευτικό όμιλο Αορείτες,2023-12-24 10:35:34+00:00,"Χρόνια Πολλά, Καλά Χριστούγεννα, υγεία και ευημερία σε όλες τις Ελληνίδες και όλους τους Έλληνες απανταχού της γης. 

Με χαρά υποδέχτηκα στα γραφεία του ΠΑΣΟΚ τον χορευτικό όμιλο Αορείτες, που έχουν κάνει πράξη τη συμπερίληψη ενώνοντας τις δεξιότητες στον χορό παιδιών και με αναπτυξιακές διαταραχές ή κινητικά προβλήματα.

Ευχαριστώ πολύ και την παναρκαδική ομοσπονδία Ελλάδας, που διατηρούν τις παραδόσεις του τόπου τους.",[],892,75,0,0,2023-12-24,10:35:34,0.08408071748878924,0.0,0.0,420.15000000000003
9,8dZkTvYe4ts,Ζωντανά στον ΣΚΑΪ και στους Αταίριαστους με τον Χρήστο Κούτρα και τον Γιάννη Ντσούνο,2023-12-22 08:59:26+00:00,#live,[],3443,104,0,16,2023-12-22,08:59:26,0.03020621550972989,0.004647110078419983,0.0,1578.5500000000002
10,0EEbb1Lc2-k,Τι φοβάται ο κ. Μητσοτάκης;,2023-12-19 21:18:17+00:00,,[],107572,1337,0,85,2023-12-19,21:18:17,0.012428884839921168,0.0007901684453203436,0.0,48758.65
11,-eTUORvvgho,Ζωντανά από τη Βουλή των Ελλήνων,2023-12-19 11:10:19+00:00,#live,[],589,39,0,2,2023-12-19,11:10:19,0.06621392190152801,0.003395585738539898,0.0,275.2
12,fAAIjCxHLC0,Ζωντανά από τη Βουλή των Ελλήνων,2023-12-19 11:06:06+00:00,#live,[],418,31,0,6,2023-12-19,11:06:06,0.07416267942583732,0.014354066985645933,0.0,197.04999999999998
13,newz6YP86a4,Ζωντανά από τη Βουλή των Ελλήνων,2023-12-19 11:02:11+00:00,#live,[],1076,71,0,4,2023-12-19,11:02:11,0.06598513011152417,0.0037174721189591076,0.0,502.75
14,cbU_qvM7NC8,Ομιλία στη Βουλή για τον προϋπολογισμό,2023-12-18 03:43:21+00:00,#live,[],1618,100,0,11,2023-12-18,03:43:21,0.06180469715698393,0.006798516687268232,0.0,755.3000000000001
15,hQM6aa8Fqms,Ο πληθωρισμός και η ακρίβεια έχουν γίνει εργαλείο άσκησης πολιτικής για τη Νέα Δημοκρατία.,2023-12-14 13:37:20+00:00,,[],9042,152,0,8,2023-12-14,13:37:20,0.0168104401681044,0.0008847600088476001,0.0,4108.5
16,H6dgv3WbcYA,Ζωντανά στο OT FORUM «Ελληνική Επιχειρηματικότητα 2.0+,2023-12-14 02:06:15+00:00,#live,[],1045,80,0,5,2023-12-14,02:06:15,0.07655502392344497,0.004784688995215311,0.0,491.25
17,LBIAFtDC_aU,Καθαρές λύσεις για την αντιμετώπιση της οπαδικής βίας,2023-12-13 16:21:59+00:00,,[],4729,97,0,9,2023-12-13,16:21:59,0.020511736096426307,0.0019031507718333686,0.0,2154.1000000000004
18,UeCtVJ5vub4,Ζωντανά στο Κεντρικό Δελτίο Ειδήσεων του Alpha με τον Αντώνη Σρόιτερ,2023-12-13 05:56:03+00:00,#live,[],1992,88,0,7,2023-12-13,05:56:03,0.04417670682730924,0.0035140562248995983,0.0,919.8
19,q7NG7TLLGwg,Ζωντανά: Ημερίδα του ΠΑΣΟΚ - Κινήματος Αλλαγής & του InSocial για την Αυτοδιοίκηση,2023-12-11 17:54:04+00:00,#live,[],1181,87,0,4,2023-12-11,17:54:04,0.07366638441998306,0.003386960203217612,0.0,554.0
20,-b8dDPp0eao,Ομιλία για το φορολογικό νομοσχέδιο στη Βουλή των Ελλήνων,2023-12-06 23:47:03+00:00,#live,[],2139,91,0,9,2023-12-06,23:47:03,0.04254324450677887,0.004207573632538569,0.0,987.1
21,vrSV79WuqyQ,"Πρόληψη, διαχείριση και αντιμετώπιση καταστροφών στο φυσικό περιβάλλον.",2023-12-03 23:07:12+00:00,Θεματική εκδήλωση στην Αλεξανδρούπολη #live,[],1272,82,0,3,2023-12-03,23:07:12,0.06446540880503145,0.0023584905660377358,0.0,593.5
22,ClvaQWac7KA,Ζωντανά στην Ολομέλεια της Βουλής,2023-12-02 00:18:32+00:00,#live,[],977,60,0,6,2023-12-02,00:18:32,0.06141248720573183,0.006141248720573183,0.0,455.85
23,I2siZI4AZZw,Ζωντανά στο Mega και στην εκπομπή Live news με τον Νίκο Ευαγγελάτο,2023-12-01 04:37:17+00:00,#live,[],4022,90,0,8,2023-12-01,04:37:17,0.022376926902038786,0.001989060169070114,0.0,1834.0
24,ucgXUW3ptps,Μαζί για το νέο Ε.Σ.Υ.,2023-11-29 19:41:36+00:00,Ζωντανά από το Ηράκλειο Κρήτης #live,[],1897,85,0,0,2023-11-29,19:41:36,0.044807590933052185,0.0,0.0,874.9
25,y7BkUgseOSg,Ιδιωτικό χρέος & κόκκινα δάνεια: Διέξοδος με λύση ή συνέχεια στο αδιέξοδο;,2023-11-28 21:49:28+00:00,Ειδική συνεδρίαση της Κοινοβουλευτικής Ομάδας του ΠΑΣΟΚ - Κινήματος Αλλαγης παρουσία φορέων με θέμα το προγραμματικό σχέδιο για το ιδιωτικό χρέος και τα κόκκινα δάνεια #live,[],1312,79,0,15,2023-11-28,21:49:28,0.06021341463414634,0.011432926829268292,0.0,613.15
26,3KgSZdBckjs,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-25 00:30:45+00:00,#live,[],1629,92,0,2,2023-11-25,00:30:45,0.056476365868631064,0.0012277470841006752,0.0,756.45
27,iIy1Qb4U4hc,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-24 13:44:44+00:00,#live,[],1497,59,0,8,2023-11-24,13:44:44,0.0394121576486306,0.005344021376085505,0.0,690.0
28,3qAxXWR5704,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-22 23:09:56+00:00,#live,[],1523,69,0,4,2023-11-22,23:09:56,0.04530531845042679,0.0026263952724885093,0.0,703.4
29,-dZTFj-yYkA,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-22 14:58:07+00:00,#live,[],1638,82,0,4,2023-11-22,14:58:07,0.050061050061050064,0.002442002442002442,0.0,758.4
30,sqeJljoXhxM,Ζωντανά από το Thessaloniki Summit 2023,2023-11-22 01:59:46+00:00,#live,[],1589,75,0,4,2023-11-22,01:59:46,0.04719949653870359,0.0025173064820641915,0.0,734.6
31,jABNX_m74NU,Ομιλία στη Συνεδρίαση της Κεντρικής Πολιτικής Επιτροπής,2023-11-19 12:01:14+00:00,,[],5192,173,0,34,2023-11-19,12:01:14,0.03332049306625578,0.0065485362095531584,0.0,2386.4500000000003
32,BZMqVXaJUP4,Συνέντευξη στον Ant1 και στην εκπομπή Καλημέρα Ελλάδα,2023-11-17 19:25:17+00:00,#live,[],6547,116,0,47,2023-11-17,19:25:17,0.017718038796395295,0.007178860546815336,0.0,2984.55
33,XopdXpp1_ME,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-15 12:23:53+00:00,#live,[],1236,52,0,2,2023-11-15,12:23:53,0.042071197411003236,0.0016181229773462784,0.0,569.6
34,19b_azxF9AA,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-15 12:01:25+00:00,#live,[],1218,69,0,4,2023-11-15,12:01:25,0.05665024630541872,0.003284072249589491,0.0,566.15
35,pDsGmLjF198,Δήλωση στο Συνέδριο του Ευρωπαϊκού Σοσιαλιστικού Κόμματος,2023-11-10 18:15:15+00:00,"Θα επαναφέρω στο συνέδριό μας την πρόταση μου για ένα Ταμείο Οικονομικής Ευρωπαϊκής Κυριαρχίας. Το ταμείο αυτό θα μπορεί να στηρίξει τις αδύναμες οικονομίες ώστε να δημιουργήσουν ανταγωνιστική και εξωστρεφή παραγωγική βάση με πολλές καλές θέσεις εργασίας.
Αυτές είναι οι πολιτικές, που δυναμώνουν την Ένωση.

Αυτές είναι οι πολιτικές, που δημιουργούν ένα καλύτερο μέλλον για όλους τους λαούς της Ευρώπης και αυτές έχουμε χρέος να ακολουθήσουμε.

📌 Συνέδριο του Ευρωπαϊκού Σοσιαλιστικού Κόμματος",[],826,72,0,3,2023-11-10,18:15:15,0.08716707021791767,0.0036319612590799033,0.0,390.3
36,fG9ucSh_RsE,"Νίκος Ανδρουλάκης: Θα κάνω ό,τι περνά από το χέρι μου για την αποκάλυψη της αλήθειας",2023-11-02 14:55:23+00:00,,[],3759,109,0,23,2023-11-02,14:55:23,0.02899707368981112,0.006118648576749135,0.0,1723.3999999999999
37,_6qT2-baL7c,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-02 10:20:13+00:00,#live,[],2865,81,0,23,2023-11-02,10:20:13,0.028272251308900525,0.008027923211169284,0.0,1314.1
38,x56jacALX0w,Ζωντανά από τη Βουλή των Ελλήνων,2023-11-01 22:52:07+00:00,#live,[],3019,119,0,13,2023-11-01,22:52:07,0.03941702550513415,0.004306061609804571,0.0,1390.8999999999999
39,o3uThxGQZy4,"Είμαστε εδώ για να κάνουμε ό,τι περνά απ' το χέρι μας, για να μην συγκαλυφθεί το έγκλημα στα Τέμπη",2023-10-31 17:44:48+00:00,,[],663,52,0,4,2023-10-31,17:44:48,0.0784313725490196,0.006033182503770739,0.0,312.15000000000003
40,GxYSV9VIMzk,Ζούμε τη σταθερή παρακμή του κράτους δικαίου στον βωμό της συγκάλυψης,2023-10-31 13:25:49+00:00,"ΔΗΛΩΣΗ ΝΙΚΟΥ ΑΝΔΡΟΥΛΑΚΗ, ΠΡΟΕΔΡΟΥ ΠΑΣΟΚ- ΚΙΝΗΜΑΤΟΣ ΑΛΛΑΓΗΣ ΜΕΤΑ ΤΗ ΣΥΝΑΝΤΗΣΗ ΤΟΥ ΜΕ ΤΟΝ ΠΡΟΕΔΡΟ ΤΗΣ ΑΔΑΕ


Νίκος Ανδρουλάκης: «Ζούμε τη σταθερή παρακμή του κράτους δικαίου στον βωμό της συγκάλυψης»

Κατέθεσα σήμερα στον Άρειο Πάγο υπόμνημα για να υπάρξει αντιπαραβολή των στόχων του Predator από τη λίστα του κ. Μενουδάκου με τις επισυνδέσεις της ΕΥΠ. Για να υπάρξει επιτέλους αποκάλυψη του ενιαίου κέντρου των παρακολουθήσεων.
Εάν υπάρχει  πραγματικό ενδιαφέρον για την επιτάχυνση της διαδικασίας να πέσει φως σε αυτήν τη νοσηρή υπόθεση, τότε πρέπει άμεσα να γίνει αυτή η αντιπαραβολή και να ενημερωθεί το ελληνικό Κοινοβούλιο και ο ελληνικός λαός.
Επίσης, μίλησα με τον Πρόεδρο της ΑΔΑΕ, κ. Ράμμο, για τις σοκαριστικές καταγγελίες, που έκανε στην αρμόδια επιτροπή του Ευρωπαϊκού Κοινοβουλίου.

 Είναι αδιανόητο σε μια ευρωπαϊκή χώρα να υπάρχει ένα σκοτεινό παρασκήνιο με απειλές σε πρόσωπα, που εκπροσωπούν τις ανεξάρτητες αρχές.

Εδώ και ενάμιση χρόνο στην Ελλάδα, ζούμε τη σταθερή παρακμή του κράτους δικαίου στον βωμό της συγκάλυψης. 

Ο κ. Μητσοτάκης και η κυβέρνησή του, με όλες αυτές τις πρακτικές, οδηγούν τη χώρα μακριά από το ευρωπαϊκό πρότυπο λειτουργίας των θεσμών. 
Η παράταξή μας θα σταθεί εμπόδιο με όλες της τις δυνάμεις απέναντι σε αυτό το φαινόμενο, το οποίο δεν αξίζει στον ελληνικό λαό. Έναν λαό που αγωνίστηκε για να έχουμε  κράτος δικαίου, σεβασμό των ανθρωπίνων δικαιωμάτων και  ποιοτική δημοκρατία.


Απαντώντας σε ερώτηση δημοσιογράφου, ο κ. Ανδρουλάκης υπογράμμισε:
«Το κράτος δικαίου δεν είναι  πολυτέλεια, όπως θέλουν κάποιοι να το εμφανίσουν στη χώρα, αλλά είναι η προϋπόθεση για την ευημερία και την ανάπτυξη της κοινωνίας μας».",[],826,61,0,8,2023-10-31,13:25:49,0.07384987893462469,0.009685230024213076,0.0,388.55
