,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
0,aaasi9o2jtM,Επιστολική ψήφος: Επιθυμεί η ΝΔ τον ειλικρινή διάλογο;,2024-01-23 18:09:52+00:00,"Γίνεται μια μεγάλη συζήτηση και εδώ στη Βουλή αυτές τις ημέρες, και πιστεύουμε ότι εσείς δικαιούστε να ξέρετε αδιαμεσολάβητα τις θέσεις του ΣΥΡΙΖΑ-ΠΣ. Θέσεις που πηγάζουν από την πάγια αρχή μας.",[],3001,209,0,51,2024-01-23,18:09:52,0.0696434521826058,0.016994335221592802,0.0,1412.9
1,2BGkTa2vwgY,Ομιλία στη συνεδρίαση της ΚΕ του ΣΥΡΙΖΑ Προοδευτική Συμμαχία,2024-01-13 11:56:01+00:00,Ομιλία στη συνεδρίαση της ΚΕ του ΣΥΡΙΖΑ Προοδευτική Συμμαχία,[],8053,233,0,46,2024-01-13,11:56:01,0.028933316776356636,0.005712156960139079,0.0,3691.2999999999997
2,-6tUsUp8v-0,Συνέντευξη στο κεντρικό δελτίο ειδήσεων του star και τη δημοσιογράφο Μάρα Ζαχαρέα,2024-01-13 10:13:57+00:00,"-Την ώρα που ο Πρωθυπουργός φοβάται και στρέφει τους βουλευτές του στην αποχή, να γνωρίζει η ελληνική κοινωνία: Αυτό το νομοσχέδιο -έστω ατελές- θα γίνει νόμος του Κράτους χάρη στις ψήφους του ΣΥΡΙΖΑ.

-Το δάνειό μου προς τον ΣΥΡΙΖΑ είναι μία κίνηση που συζητήθηκε πολύ. Αυτό που δε συζητήθηκε είναι πώς ένας πρόεδρος ενός κόμματος το οποίο χρωστάει μισό δισ. € κυβερνά τη χώρα και συγχρόνως ζητά και 9.000 € αποζημιώσεις για τις ελιές του. Αυτό δε συζητείται.
Η στάση μου είναι μια στάση αξιοπρεπής, ανιδιοτελής.
Υπήρχε άλλη λύση; Ναι. Η εξάρτηση από επιχειρηματικά συμφέροντα. Δεν πρόκειται να αφήσω τον ΣΥΡΙΖΑ να καταλήξει εκεί.",[],2513,106,0,35,2024-01-13,10:13:57,0.04218066056506168,0.013927576601671309,0.0,1164.3500000000001
3,hNsY44Jocpc,Δε θα αφήνω αναπάντητη τη γιγαντιαία προπαγάνδα του συστήματος Μητσοτάκη,2024-01-08 18:43:18+00:00,"Το έχω πει από την πρώτη στιγμή, πριν καν εκλεγώ: 
Δε θα αφήνω αναπάντητη τη γιγαντιαία προπαγάνδα του συστήματος Μητσοτάκη, με τον μόνο τρόπο που έχω: μιλώντας σ’ εσάς απευθείας.",[],3579,291,0,56,2024-01-08,18:43:18,0.08130762782900251,0.015646828723107013,0.0,1694.5
4,SJI7Wh6Gj3o,Καλή Χρονιά!,2023-12-28 15:47:42+00:00,,[],8195,449,0,48,2023-12-28,15:47:42,0.054789505796217206,0.005857230018303843,0.0,3809.6
5,bRmdhM_Ecps,Θέλησα να κάνω τις αόρατες διαδρομές στην πόλη. Τις διαδρομές των αστέγων.,2023-12-26 10:00:31+00:00,"Ημέρες γιορτής στην Αθήνα. Θέλησα να κάνω τις αόρατες διαδρομές στην πόλη. Τις διαδρομές των αστέγων.

Με τον κύριο Μιχάλη, που γνώρισε πώς είναι να είσαι άστεγος στην πρωτεύουσα.
Και τον εκδότη του περιοδικού δρόμου «Σχεδία», Χρήστο Αλεφάντη. 

Ξεκινήσαμε από τον σταθμό του μετρό στο Μεταξουργείο, περάσαμε από το Πολυδύναμο Κέντρο Αστέγων (ξενώνας «Ionis»), Δεληγιώργη, Σοφοκλέους , Πειραιώς, Αγίων Αναργύρων…
Καταλήξαμε στο σπίτι της «Σχεδίας» (Κολοκοτρώνη & Νικίου), όπου μου έκαναν την τιμή να με βάλουν στο γιορτινό τραπέζι τους άστεγοι και πρώην άστεγοι συμπολίτες μας. 

Άνθρωποι που έχασαν τη γη κάτω απ’ τα πόδια τους και προσπαθούν να ξαναπιάσουν το νήμα της ζωής

Όταν θα γίνουμε κυβέρνηση, εθνικός στόχος θα είναι να εξαλειφθεί πλήρως η αστεγία.
Με σχέδιο. Προσήλωση. Οργάνωση.
Και θα το καταφέρουμε.",[],4610,285,0,55,2023-12-26,10:00:31,0.06182212581344902,0.01193058568329718,0.0,2156.75
6,qmxYhbx9BKc,Κάλαντα Χριστουγέννων από τον Σύλλογο «Δικταίοι Καστρινοί»,2023-12-24 07:51:09+00:00,"Με δύναμη από την Κρήτη, για όλη την Ελλάδα.
Χρόνια πολλά, υγεία για εσάς και τις οικογένειές σας, αλληλεγγύη και κοινωνική δικαιοσύνη για ένα καλύτερο αύριο.",[],2633,150,0,26,2023-12-24,07:51:09,0.0569692366122294,0.009874667679453095,0.0,1227.5500000000002
7,dD72uZZuViM,Ομιλία στο Digital Economy Forum 2023: «Shaping Greece’s Digital Future» του ΣΕΠΕ,2023-12-18 20:23:31+00:00,Ομιλία στο Digital Economy Forum 2023: «Shaping Greece’s Digital Future» του ΣΕΠΕ,[],3575,211,0,38,2023-12-18,20:23:31,0.05902097902097902,0.01062937062937063,0.0,1669.1
8,oEGNyETXVko,Ομιλία στη συνεδρίαση της Κοινοβουλευτικής Ομάδας του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία,2023-12-17 20:56:02+00:00,Ομιλία στη συνεδρίαση της Κοινοβουλευτικής Ομάδας του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία,[],4221,250,0,35,2023-12-17,20:56:02,0.059227671167969675,0.008291873963515755,0.0,1968.95
9,4_WMprh_bL0,Το φιλότιμο όμως δεν μπορεί να υποκαθιστά το Κράτος,2023-12-14 06:59:47+00:00,"Μεσολόγγι.
Ζήτησα να δω την Αθηνά Παπαχρήστου. Τη «γιαγιά» όλων μας, που από το κομπόδεμά της αγόρασε ασθενοφόρο για το ΕΚΑΒ.

Την ευχαρίστησα για το φιλότιμό της. Το φιλότιμο όμως, το 2023, δεν μπορεί να υποκαθιστά το Κράτος. Το λέει κι εκείνη: «Θέλω να βγει ένας άνθρωπος, κάπως να ισάξει ετούτο το κράτος».

Ο Κυριάκος Μητσοτάκης της είχε τηλεφωνήσει να την ευχαριστήσει. Της είχε πει ότι θα πάει να τη δει. Η κυρία Αθηνά τού απάντησε: «Να ‘ρθεις αλλά πάρε και κανένα ασθενοφόρο».",[],4912,352,0,49,2023-12-14,06:59:47,0.07166123778501629,0.009975570032573289,0.0,2308.2000000000003
