,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
0,Lh0fffDQhH4,"Ο Βουλευτής Β' Θεσσαλονίκης, Πέτρος Δημητριάδης, στην εξέταση Β.Προφυλλίδη για το έγκλημα των Τεμπών",2024-01-30 15:03:48+00:00,30/01/2024,[],30,7,0,0,2024-01-30,15:03:48,0.23333333333333334,0.0,0.0,15.25
1,92HWjNcgEH8,"Ο Βουλευτής Β' Θεσσαλονίκης, Πέτρος Δημητριάδης, στην εξέταση M. Capotorto για το έγκλημα των Τεμπών",2024-01-30 14:49:47+00:00,30/01/2024 Μέρος Β',[],8,2,0,0,2024-01-30,14:49:47,0.25,0.0,0.0,4.1
2,DeNpHFR-2Fc,"Ο Βουλευτής Β' Θεσσαλονίκης, Πέτρος Δημητριάδης, στην εξέταση M. Capotorto για το έγκλημα των Τεμπών",2024-01-30 14:47:17+00:00,30/01/2024 Μέρος Α',[],12,2,0,0,2024-01-30,14:47:17,0.16666666666666666,0.0,0.0,5.9
3,xy7yCKkhGpY,"Ο Βουλευτής Αιτωλοακαρνανίας, Διονύσιος Βαλτογιάννης στην Ειδική Μόνιμη Επιτροπή Οδικής Ασφάλειας",2024-01-30 09:25:00+00:00,29/01/2024,[],49,6,0,0,2024-01-30,09:25:00,0.12244897959183673,0.0,0.0,23.55
4,Bpnvxnc-rus,"Ο Βουλευτής Α' Θεσσαλονίκης, Ι. Κόντης στην Επιτροπή Μορφωτικών Υποθέσεων για μέτρα στα γήπεδα",2024-01-30 08:56:48+00:00,29/01/2024 Μέρος Β',[],24,4,0,0,2024-01-30,08:56:48,0.16666666666666666,0.0,0.0,11.8
5,T8mK5op-lgo,"Ο Βουλευτής Α' Θεσσαλονίκης, Ι. Κόντης στην Επιτροπή Μορφωτικών Υποθέσεων για μέτρα στα γήπεδα",2024-01-30 08:53:46+00:00,29/01/2024 Μέρος Α',[],27,4,0,0,2024-01-30,08:53:46,0.14814814814814814,0.0,0.0,13.15
6,HSNwkyA_djw,Οι «ΣΠΑΡΤΙΑΤΕΣ» στην κοπή Βασιλόπιτας των Προσκόπων Θεσσαλονίκης - 110 χρόνια αδιάλειπτης προσφοράς,2024-01-29 12:06:21+00:00,27/01/2024,[],47,5,0,0,2024-01-29,12:06:21,0.10638297872340426,0.0,0.0,22.400000000000002
7,o7BilOHpKVw,Οι «ΣΠΑΡΤΙΑΤΕΣ» στην Επιμνημόσυνη Δέηση για τα 196 χρόνια από την εκδημία του Αλέξανδρου Υψηλάντη,2024-01-29 09:04:36+00:00,28/01/2024,[],89,9,0,0,2024-01-29,09:04:36,0.10112359550561797,0.0,0.0,42.300000000000004
8,7dAWFEBxH0M,Οι «ΣΠΑΡΤΙΑΤΕΣ» στην εκδήλωση Μνήμης «Βουρβάχεια» για τη Μάχη του Καματερού στις 27 Ιανουαρίου 1827,2024-01-28 17:35:08+00:00,28/01/2024,[],134,12,0,0,2024-01-28,17:35:08,0.08955223880597014,0.0,0.0,63.300000000000004
9,Anw5tG6Qyes,"Οι «ΣΠΑΡΤΙΑΤΕΣ» τιμούν την ιστορική επέτειο των Ιμίων - Αθάνατοι οι Καραθανάσης, Βλαχάκος, Γιαλοψός",2024-01-28 14:12:03+00:00,Πειραιάς-Θεσσαλονίκη 28/01/2024,[],167,8,0,0,2024-01-28,14:12:03,0.04790419161676647,0.0,0.0,77.15
10,e3BKC0lINPY,Αίγιο: Οι «ΣΠΑΡΤΙΑΤΕΣ» τίμησαν την Ιστορική Επέτειο της Μυστικής Συνέλευσης της Βοστίτσας του 1821,2024-01-27 12:32:36+00:00,26/01/2024,[],140,13,0,0,2024-01-27,12:32:36,0.09285714285714286,0.0,0.0,66.25
11,YBu171bP0Jo,«Όλα στο Φως» - Η διαδικτυακή εκπομπή του κόμματος «ΣΠΑΡΤΙΑΤΕΣ» (Παρουσίαση: Κορίνα Τριανταφύλλου),2024-01-26 15:15:29+00:00,24 01 2024,[],9423,126,0,0,2024-01-26,15:15:29,0.013371537726838587,0.0,0.0,4271.85
12,bZ86eg72Ka4,"Ο Βουλευτής Β2' Δυτ. Τομέα Αθηνών, Γ. Μανούσος, στην εκπομπή «Τι λέει ο Νόμος» (Κανάλι της Βουλής)",2024-01-26 09:19:57+00:00,25/01/2024,[],155,10,0,0,2024-01-26,09:19:57,0.06451612903225806,0.0,0.0,72.25
13,rHy2QTea-Vg,"Επίκαιρη ερώτηση του Βουλευτή Ηρακλείου, Μιχαήλ Γαυγιωτάκη, στον Υφυπουργό Προστασίας του Πολίτη",2024-01-26 08:56:44+00:00,26/01/2024,[],48,8,0,0,2024-01-26,08:56:44,0.16666666666666666,0.0,0.0,23.6
14,8MGbgOsWtuU,Ο Βουλευτής Α' Θεσσαλονίκης Ι. Κόντης στην Επιτροπή Μορφωτικών Υποθέσεων για μέτρα στο ποδόσφαιρο,2024-01-25 16:55:04+00:00,25/01/2024 Μέρος Β',[],39,5,0,0,2024-01-25,16:55:04,0.1282051282051282,0.0,0.0,18.8
