Title,Description
Επίσκεψη στην Κοινωνική Δομή Παροχής Συσσιτίου Δήμου Κερατσινίου-Δραπετσώνας | 29.12.2023,Επίσκεψη του Προέδρου της Κ.Ο. της Νέας Αριστεράς στην Κοινωνική Δομή Παροχής Συσσιτίου Δήμου Κερατσινίου-Δραπετσώνας | 29.12.2023
"Συνέντευξη στον ρ/στ ""Flash Fm"" - Γιάννης Μαγκριώτης| 27.12.2023","Συνέντευξη στον ρ/στ ""Flash Fm"" και στον δημοσιογράφο Γιάννη Μαγκριώτη"
"Συνέντευξη στον ρ/στ ""Real fm"" | 22.12.2023",📻Συνέντευξη στονRealfm97.88 και στη δημοσιογράφο Κάτια Μακρή
Ομιλία στην Βουλή - «Κύρωση του Κρατικού Προϋπολογισμού οικονομικού έτους 2024» | 17.12.2023,📌 Η Ομιλία μου στην ολομέλεια της #Βουλής κατά τη συζήτηση και ψήφιση επί του σχεδίου νόμου «Κύρωση του Κρατικού Προϋπολογισμού οικονομικού έτους 2024».
"Συνέντευξη στο ""Mega TV"" | 13.12.23",📺 Συνέντευξη στην εκπομπή LIVE NEWS του Mega TV
Τοποθέτηση στο FORUM του Οικονομικού Ταχυδρόμου| 12.12.2023,Συζήτηση στο FORUM OT με τους δημοσιογράφους Νίκο Φιλιππίδη και Ελένη Στεργίου
"Συνέντευξη στον τ/στ ""MEGA TV"" | 10.12.2023","Συνέντευξη στην εκπομπή ""Mega Σαββατοκύριακο"" και στους Στέλλα Γκαντώνα & Ντίνο Σιωμόπουλο"
Ομιλία στην Ολομέλεια της Βουλής | 08.12.23,"Ομιλία του Προέδρου της Κ.Ο. ΝΕΑ ΑΡΙΣΤΕΡΑ στην Ολομέλεια της Βουλής, Αλέξη Χαρίτση, κατά την συζήτηση του νομοσχεδίου του Υπουργείου Κλιματικής Κρίσης και Πολιτικής Προστασίας"
"Συνέντευξη στον ιστότοπο ""News 24/7"" |06.12.2023","📺 Η συνέντευξή μου στο ιστότοπο ""News 24/7"" και στον δημοσιογράφο Γεράσιμο Λιβιτσάνο"
"Συνέντευξη στον τ/στ ""Attica TV"" |06.12.2023",📺 Η συνέντευξή μου στο τ/στAttica TV και στον δημοσιογράφο  Giorgos Melingoniss
Ομιλία στην Ολομέλεια της Βουλής | 06.12.23,"Ομιλία του Προέδρου της Κ.Ο. ΝΕΑ ΑΡΙΣΤΕΡΑ στην Ολομέλεια της Βουλής, Αλέξη Χαρίτση, κατά την συζήτηση του νομοσχεδίου για το φορολογικό."
"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |05.12.2023",📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμούMesogeios TV και στον δημοσιογράφο Thanos Tziouveliss
"Συνέντευξη στον ρ/στ ""ΠΑΡΑΠΟΛΙΤΙΚΑ fm"" | 05.12.2023",📻Συνέντευξη στον ρ/στ parapolitikaFM και στην δημοσιογράφο Νίκη Λυμπεράκη
Παρουσίαση της νέας Κοινοβουλευτικής Ομάδας | 04.12.2023,Ανοιχτή εκδήλωση για την παρουσίαση της νέας Κοινοβουλευτικής Ομάδας των 11 ανεξάρτητων Βουλευτών/τριων της Αριστεράς .
"Συνέντευξη στον τ/στ ""ΣΚΑI"" | 04.12.2023","📺 Συνέντευξη στην εκπομπή Αταίριαστοι και στους δημοσιογράφους Γιάννη Ντσούνο και Χρήστο Κούτρα

ΣΚΑΪ Τηλεόραση"
"Συνέντευξη στον τ/στ ""ANT1"" | 03.12.2023","▶️ Συνέντευξη στην εκπομπή του ΑΝΤ1 ""ΣΤΟΥΝΤΙΟ ΜΕ ΘΕΑ""  και στην Φαίη Μαυραγάνη"
"Συνέντευξη στην ""ΕΡΤ 1"" | 01.12.2023",Συνέντευξη στην εκπομπή «Συνδέσεις» της ΕΡΤ και στους δημοσιογράφους Κώστας Παπαχλιμίντζος και Δέσποινα Κονταράκη
"Συνέντευξη στο ""Kontra Channel"" | 29.11.2023",➡Συνέντευξη στον τ/στ KONTRA TV με την δημοσιογράφο Νατάσα Γιάμαλη
"Συνέντευξη στο ""Action24 "" | 29.11.2023",Ζωντανά η συνέντευξή μου στο Action24 και στους δημοσιογάφους Γιώργος Κακούσης & Άννα Λιβαθινού
"Συνέντευξη στο ""BEST TV"" | 28.11.23",Συνέντευξη στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Themis Kanellopoulos
"Συνέντευξη στον ρ/στ ""ΣΚΑΙ 100,3"" | 28.11.2023",📻Συνέντευξη στον ΣΚΑΪ 100.3 και στον δημοσιογράφο Παύλο Τσίμα
"Συνέντευξη στον ρ/στ ""ΠΑΡΑΠΟΛΙΤΙΚΑ fm"" | 28.11.2023",📻Συνέντευξη στον ρ/στ  ΠΑΡΑΠΟΛΙΤΙΚΑ fm και στους δημοσιογράφους Σωτήρη Ξενάκη και Βασίλη Σκουρή
"Συνέντευξη στον ρ/στ ""Real fm"" | 27.11.2023",📻Συνέντευξη στον Real FM 97.8 και στη δημοσιογράφο Κάτια Μακρή
"Συνέντευξη στον τ/στ ""MEGA TV"" | 27.11.2023",Ιορδάνης Χασαπόπουλος - Ανθή Βούλγαρη
"Συνέντευξη στον ""OPEN TV"" | 24.11.2023",📺 Συνέντευξη στο Κεντρικό Δελτίο τoυ OPEN TV και στον δημοσιογράφο Εύα Αντωνοπούλου
"Συνέντευξη στον ""ΑΝΤ1 TV"" | 23.11.2023",📺 Συνέντευξη στο Κεντρικό Δελτίο τoυΑΝΤ1 και στο δημοσιογράφο Νίκο Χατζηνικολάου
Ομιλία στην Ολομέλεια της Βουλής | 09.11.23,📌 Ομιλία στην Ολομέλεια της #Βουλής κατά την συζήτηση για το νομοσχεδίου του Υπουργείο Ανάπτυξης.
Ομιλία στην Ολομέλεια της Βουλής | 02.11.23,"📌 Ομιλία στην Ολομέλεια της #Βουλής κατά την συζήτηση σ/ν του Υπουργείου Εσωτερικών «Νέο σύστημα επιλογής διοικήσεων φορέων του δημοσίου τομέα, ενίσχυση της αποτελεσματικότητάς τους και λοιπές διατάξεις»."
"""Συζήτηση επίκαιρης ερώτησης"" | 23.10.2023",➡ Ομιλία στην - Επίκαιρη Ερώτησή μου προς τον Υπουργό Αγροτικής Ανάπτυξης για την έλλειψη εργατών γης
"Συνέντευξη στο τ/στ ""ΕΡΤ1 "" | 22.09.23",📺 Συνέντευξη στο Κεντρικό Δελτίο της ΕΡΤ1 και στο δημοσιογράφο Απόστολο Μαγγηριάδη
"Συνέντευξη στο ""Mega TV"" | 22.09.23",📺 Συνέντευξη στην εκπομπή LIVE NEWS του Mega TV και στoν δημοσιογράφο Νίκο Ευαγγελάτο
"Συνέντευξη στο τ/στ  ""Open TV "" | 21.09.23","🟥 Έχουμε την ευθύνη απέναντι στην ελληνική κοινωνία να καταθέσουμε μία ολοκληρωμένη πρόταση για μια εναλλακτική προοδευτική διακυβέρνηση, η οποία θα είναι πειστική και ριζοσπαστική. Ώστε να πείσουμε τους πολίτες ότι τα πράγματα στην χώρα μπορούν να πάνε διαφορετικά. 

⭕ Είναι πολύ σημαντικό να παρουσιαστούν αναλυτικά και τεκμηριωμένα τα προγράμματα των υποψήφιων προέδρων. Αυτό το έχει παρουσιάσει η Έφη Αχτσιόγλου -Έφη Αχτσιόγλου και αφορά ένα συγκροτημένο και πολιτικό σχέδιο πολιτικής και οργανωτικής ανασυγκρότησης. Από τον Στέφανο Κασσελάκη δεν το έχουμε δει ακόμα. 

⭕ Ο ΣΥ.ΡΙΖ.Α. πρέπει να προχωρήσει ενωμένος την επόμενη ημέρα των εκλογών αλλά πάνω σε με μια στέρεη πολιτική βάση. Έχουμε δώσει μάχες για την ενότητα στο παρελθόν, θα δώσουμε και στο μέλλον. Η ενότητα δεν είναι μια αφηρημένη έννοια, αφορά το μέλλον της παράταξής μας αλλά και το μέλλον της ελληνικής κοινωνίας. 

📺 Συνέντευξη στο Κεντρικό Δελτίο του TV Open και στη δημοσιογράφο Εύα Αντωνοπούλου"
"Συνέντευξη στον τ/στ ""ΑΝΤ1 TV"" |21.09.2023",Συνέντευξη στην εκπομπή Καλημέρα Ελλάδα ANT1 και στους δημοσιογράφους Maria Anastasopoulou & Γιώργο Γρηγοριάδη
"Συνέντευξη στο ""ATTICA TV"" | 20.09.2023",Συνέντευξη στο Attica TV και στον δημοσιογράφο Giorgos Melingonis
"Συνέντευξη στον ρ/στ ""Real fm"" | 20.09.2023",📻Συνέντευξη στον Real FM 97.8 και στους δημοσιογράφους Νίκο Χατζηνικολάου & Αντώνη Δελλατόλα
"Συνέντευξη στον τ/στ ""ΣΚΑΙ"" |20.09.2023",Συνέντευξη στον τηλεοπτικό σταθμό ΣΚΑΪ ΤV και στους δημοσιογράφους Γιάννη Ντσούνο και Χρήστο Κούτρα
"Συνέντευξη στο ""BEST TV"" | 15.09.23",Συνέντευξη στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Themis Kanellopoulos
"Συνέντευξη στον ρ/στ ""Στο Κόκκινο 105,5"" | 13.09.2023","🎤Συνέντευξη Στο Κόκκινο 105,5 και στην δημοσιογράφο Κατερίνα Ακριβοπούλου"
Περιοδεία σήμερα στον Έβρο | 12.09.2023,"Η εικόνα αποκαρδιωτική. Ασύλληπτη οικολογική καταστροφή με μεγάλες επιπτώσεις στην παραγωγική δραστηριότητα της περιοχής.
Η πυρκαγιά είναι ενα αποφασιστικό πλήγμα σε μια περιοχή που έτσι κι αλλιώς ένιωθε, και ήταν, ξεχασμένη από την ελληνική πολιτεία. Οι κάτοικοι του Έβρου νιώθουν ότι πια δεν μπορούν να έχουν κανένα μέλλον στον τόπο τους. Και υπάρχουν ευθύνες για αυτό. Πολιτικές ευθύνες.
Είναι επιτακτική ανάγκη η άμεση αποζημίωση των πληγέντων. 
Εξίσου κρίσιμη όμως είναι και η εκπόνηση ενός Αναπτυξιακού Προγράμματος Ειδικού Σκοπού για την Θράκη και ειδικότερα για τον Έβρο. 
Όπως αυτό που ξεκινήσαμε το 2018 για τα νησιά του Β. Αιγαίου (και οδήγησε στην καθιέρωση του Μεταφορικού Ισοδύναμου) αλλά εγκαταλείφθηκε στη συνέχεια. Όπως αυτό που παρουσιάσαμε το 2021 στους παραγωγικούς φορείς της Θράκης σε εκδήλωση στην Ξάνθη.
Το αναπτυξιακό μέλλον της περιοχής δεν μπορεί να είναι τα ποικιλώνυμα passes που για μία ακόμη φορά εξηγγειλε χθες ο κ. Μητσοτάκη σε μια προσπάθεια να κατευνασει τις δίκαιες απαιτήσεις και τις εύλογες αγωνίες των ανθρώπων της περιοχής. 
Η κρίσιμη και ευαίσθητη περιοχή του Έβρου και της Θράκης συνολικότερα χρειάζεται μια ολοκληρωμένη αναπτυξιακή στρατηγική με φορολογικές διευκολύνσεις, κίνητρα για ίδρυση νέων και μετεγκατάσταση υφιστάμενων επιχειρήσεων, ολοκλήρωση βασικών δημόσιων υποδομών.
Κυρίως όμως απαιτείται πολιτική βούληση για την αξιοποίηση των νέων χρηματοδοτικών δυνατοτήτων (Ταμείο Ανάκαμψης και Ανθεκτικότητας) για ουσιαστική περιφερειακή, αποκεντρωμένη ανάπτυξη. Βούληση που απουσιάζει πλήρως από την κυβέρνηση Μητσοτάκη."
"Συνέντευξη στον ρ/στ ""Στο Κόκκινο 105,5"" | 08.09.2023","🎤ΣυνέντευξηΣτο Κόκκινο 105,55 και στον δημοσιογράφο  Κώστα Σαββόπουλο"
"Συνέντευξη στον ""REAL FM"" | 07.09.2023",📻Συνέντευξη στον Real FM 97.8 και στην δημοσιογράφο Κάτια Μακρή
"Συνέντευξη στον τ/στ ""Ionian TV"" | 04.09.2023",▶️ Συνέντευξη στο κεντρικό δελτίο ειδήσεων του Ionian Channel και στον Τάσο Θεοδόση
"Συνέντευξη στον ρ/στ ""Στο Κόκκινο 105,5"" | 27.07.2023",
"Συνέντευξη στον ρ/στ ""Flash 99.4"" | 18.07.2023","📌Συνέντευξη στο ραδιόφωνο του ""Flash 994"" και στον δημοσιογράφο  Γιώργο Μαγκριώτη"
"Συνέντευξη στον ρ/στ ""Στο Κόκκινο105,5"" | 18.07.2023","Συνέντευξη στον ρ/στ ""Στο Κόκκινο 105,5"" και στους δημοσιογράφους Γιώργο Τραπεζιώτη και Γιώργο Μελιγγώνη"
"Συνέντευξη στην ""ΕΡΤ"" | 13.07.2023","Συνέντευξη στην εκπομπή ""ΣΤΟ ΚΕΝΤΡΟ"" της ERT1 και στον Γιώργο Κουβαρά"
Ομιλία στην Ολομέλεια της Βουλής | 08.07.23,📌 Ομιλία στην Ολομέλεια της #Βουλής κατά την συζήτηση της επί των Προγραμματικών Δηλώσεων της Κυβέρνησης.
"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |23.06.2023",📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμού Mesogeios TV και στον δημοσιογράφο Θάνο Τζιούβελή
"Συνέντευξη στον ""Ant1"" | 23.06.23","Συνέντευξη στον τηλεοπτικό σταθμό ""Ant1"" και στον δημοσιογράφο Ν. Χατζηνικολάου"
"Συνέντευξη στο ""Κόκκινο105.5"" | 23.06.2023","Συνέντευξη στον ρ/στ Στο Κόκκινο 105,5 και στους δημοσιογράφους Γιώργο Τραπεζιώτη και Γιώργος Μελιγγώνης"
"Συνέντευξη στο ""BEST TV"" | 22.06.23","Συνέντευξη στον τηλεοπτικό σταθμό ""BEST TV"" και στον δημοσιογράφο Γ. Κανελλόπουλος"
"Συνέντευξη στο ""Messinia live"" |22.06.2023",Συνέντευξη στο MessiniaLive και στον δημοσιογράφο Θανάση Πουλόπουλο
Ομιλία στην εκδήλωση της Ν.Ε. ΣΥ.ΡΙΖ.Α  για την υγεία | 21.06.23,Ομιλία στην Εκδήλωση της Ν.Ε. ΣΥ.ΡΙΖ.Α. Μεσσηνίας για την υγεία με την Α. Λινού
"Συνέντευξη στο ""Kontra news"" | 20.06.23","Συνέντευξη στο ""Kontra news"" και στον δημοσιογράφο Γ. Μελιγγώνη"
"Συνέντευξη στην ""ΕΡΤ 1"" | 20.06.2023",Συνέντευξη στην εκπομπή «Συνδέσεις» της ΕΡΤ1  και στους Κώστα Παπαχλιμίντζο και Χριστίνα Βίδου
"Συνέντευξη στον ""Alpha TV"" | 19.06.2023","Συνέντευξη στο κεντρικό δελτίο ειδήσεων του ""Alpha TV"" και στον Αντώνη Σρόιτερ"
"Συνέντευξη στο ""Alpha TV"" | 15.06.2023","Συνέντευξη στο μεσημβρινό δελτίο Ειδήσεων του ""Alpha TV""  και στις Μαρία Νικόλτσιου και Έφη Μπαρμπάτση"
"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |12.06.2023",📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμού Mesogeios TV και στον δημοσιογράφο Θάνο Τζιουβέλη
"Συνέντευξη στα ""Παραπολιτικά FM 90.1"" | 12.06.2023","Συνέντευξη στον ρ/στ ""Παραπολιτικά FM 90.1"" και στη Νίκη Λυμπεράκη"
"Συνέντευξη στο ""Kontra News"" και στον δημοσιογράφο Γ. Μελιγγώνη | 08.06.23","Συνέντευξη στο ""Kontra News"" και στον δημοσιογράφο Γ. Μελιγγώνη"
Ομιλία για το οικονομικό πρόγραμμα του ΣΥΡΙΖΑ-ΠΣ «Ελλάδα 2027» | 07.06.23,Ομιλία για το οικονομικό πρόγραμμα του ΣΥΡΙΖΑ-ΠΣ «Ελλάδα 2027»
Συνέντευξη στην ΕΡΤ1 | 08.06.2023,"Συνέντευξη στην εκπομπή ""Συνδέσεις"" της ΕΡΤ και στους Χριστίνα Βίδου και  Κώστα Παπαχλιμίντζο"
"Συνέντευξη στο ""Κόκκινο 105.5"" | 07.06.2023",Συνέντευξη στο «Κόκκινο 105.5»  και στους δημοσιογράφους Γιώργο Τραπεζιώτη και Γιώργο Μελιγγώνη
"Συνέντευξη στο ""Mega TV"" | 06.06.23","Συνέντευξή μου στο ""Mega TV"" και στον δημοσιογράφο Ν. Ευαγγελάτο"
"Συνέντευξη στο ""Best TV"" | 01.06.2023","Συνέντευξη στο κεντρικό δελτίο ειδήσεων του ""Best TV"" και στον δημοσιογράφο Θ. Κανελλόπουλο"
"Συνέντευξη στον ""Real FM"" | 01.06.2023","Συνέντευξη στον ""Real FM"" και στον δημοσιογράφο Νίκο Στραβελάκη"
"Συνέντευξη στο ""Mega TV"" | 31.05.2023","Συνέντευξη στην εκπομπή ""Κοινωνία Ώρα MEGA"" και στους Ιορδάνη Χασαπόπουλο και Ανθή Βούλγαρη"
"Συνέντευξη στον τ/στ ""Ionian TV"" | 30.05.2023","Συνέντευξη στον τ/στ ""Ionian TV"" | 30.05.2023"
"Συνέντευξη  στην εκπομπή ""Καλημέρα Ελλάδα"" του ΑΝΤ1 TV","Συνέντευξη στην εκπομπή ""Καλημέρα Ελλάδα"" του ΑΝΤ1 TV"
"Συνέντευξη στην ""ΕΡΤ"" | 24.05.2023",Συνέντευξη στο κεντρικό δελτίο ειδήσεων της ΕΡΤ και στον Γιώργο Κουβαρά
"Συνέντευξη στο ""BEST TV"" | 19.05.23",
Στις εκλογές της 21ης Μαΐου ψηφίζουμε ΣΥΡΙΖΑ–ΠΣ. Η Μεσσηνία αξίζει καλύτερα.,
"Συνέντευξη στο ""Messinia live"" |19.05.2023",Συνέντευξη στο Messinia Live και στους δημοσιογράφους Mary Perdikea &  Θανάση Πουλόπουλο
