Title,Description
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ  ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΤΟ ΧΡΙΣΤΟΥΓΕΝΝΙΑΤΙΚΟ ΜΗΝΥΜΑ ΤΟΥ ΠΡΟΕΔΡΟΥ ΤΗΣ ΕΛΛΗΝΙΚΗΣ ΛΥΣΗΣ,"Ελληνίδες, Έλληνες
Η εορτή των Χριστουγέννων είναι η γέννηση του Ιησού μας.
Δεν λέμε σήμερα καλές γιορτές, λέμε καλά Χριστούγεννα.
Η γέννηση του Ιησού είναι η λύτρωση του ανθρώπου. Σε αυτές τις μέρες πρέπει ο άνθρωπος να σταθεί
δίπλα στον άνθρωπο, η οικογένεια να ενωθεί περισσότερο, ο Έλληνας να είναι δίπλα στον Έλληνα.
Αγάπη, ελπίδα για ένα καλύτερο μέλλον.
Όλα αυτά για να επιτευχθούν, μέσα από τον αγώνα που μπορούμε να κάνουμε όλοι μαζί, έχουν ένα
κοινό σκοπό, να μεγαλώσει η Ελλάδα, να γίνει καλύτερη και με τη γέννηση του Ιησού μας να
αγκαλιάσουμε όλοι μαζί ο ένας τον άλλον.
Δεν λέμε λοιπόν καλές γιορτές, λέμε καλά Χριστούγεννα, λέμε θρίαμβο της Ορθοδοξίας."
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ - ΕΛΛΗΝΙΚΗ ΛΥΣΗ:  ΔΗΛΩΣΗ  ΓΙΑ ΤΑ ΠΡΟΣΤΙΜΑ ΣΤΙΣ ΤΡΑΠΕΖΕΣ || 22/12/2023,"Εξαγγελίες από τον πρωθυπουργό, που προκαλούν και θυμό αλλά και γέλιο. Είναι αδιανόητο να λέει ο πρωθυπουργός ότι επέβαλε η Επιτροπή Ανταγωνισμού πρόστιμα στις τράπεζες, όταν αυτές χρωστούν 20 δισ. από τον αναβαλλόμενο φόρο και 4 δισ. μόνο από τις προμήθειες που παίρνουν από τους πολίτες.

Ρωτάμε λοιπόν τον πρωθυπουργό, γιατί δεν πάει να πάρει τα 20 δισ. από τον αναβαλλόμενο φόρο και να καταργήσει τις προμήθειες;. Διότι το πρόστιμο θα πάει μάλλον  στα κυβερνητικά ταμεία και τα λεφτά θα διατεθούν σε κολλητούς και φίλους."
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - Ζωντανά η παρέμβαση στη Βουλή 18/12/2023,
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΑΠΑΝΤΗΣΗ ΣΤΟΝ Α. ΓΕΩΡΓΙΑΔΗ 18/12/2023,
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - Ομιλία στη Βουλή 18/12/2023,
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - Ζωντανά η ομιλία για τον Προϋπολογισμό 2024 στη Βουλή 17/12/2023,
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - Ομιλία για τον Προϋπολογισμό 2024 στη Βουλή 17/12/2023,
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - Παρέμβαση στη Βουλή 16/12/2023,
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - Παρέμβαση στη Βουλή 15/12/2023,
Κ. ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - Ζωντανά στον ΑΝΤ1 | Εκπομπή “ΚΑΛΗΜΕΡΑ ΕΛΛΑΔΑ” 13/12/2023,Ο Πρόεδρος της ΕΛΛΗΝΙΚΗΣ ΛΥΣΗΣ Κ.ΒΕΛΟΠΟΥΛΟΣ ζωντανά στoν ANT1 και στην εκπομπή  “ΚΑΛΗΜΕΡΑ ΕΛΛΑΔΑ” με τον Γιώργο Παπαδάκη και την Μαρία Αναστασοπούλου.
ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΑΝΤ1 Εκπομπή “ΚΑΛΗΜΕΡΑ ΕΛΛΑΔΑ”  13/12/2023,Ο Πρόεδρος της ΕΛΛΗΝΙΚΗΣ ΛΥΣΗΣ Κ.ΒΕΛΟΠΟΥΛΟΣ καλεσμένος στoν ANT1 και στην εκπομπή  “ΚΑΛΗΜΕΡΑ ΕΛΛΑΔΑ” με τον Γιώργο Παπαδάκη και την Μαρία Αναστασοπούλου.
Κ. ΒΕΛΟΠΟΥΛΟΣ ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΔΗΛΩΣΕΙΣ ΓΙΑ ΤΑ ΜΕΤΡΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ ΚΑΤΑ ΤΗΣ ΟΠΑΔΙΚΗΣ ΒΙΑΣ 12/12/2023,"ΠΑΣΟΚ, ΝΔ και ΣΥΡΙΖΑ είναι το ίδιο πράγμα, το έχουμε πει εδώ και πάρα πολύ καιρό, ακόμα και στην οπαδική βία. Από το 2003 θέλουν να λάβουν μέτρα, π.χ. οι κάμερες. 

Εγώ ρωτώ λοιπόν τα τρία κόμματα που κυβέρνησαν: επί 20 χρόνια γιατί δεν έβαζαν τις κάμερες; Γιατί φοβόταν; Ποιόν φοβόταν; Μάλλον φοβόταν αυτούς που τους συνδράμουν στις εκλογές πολλές φορές, και είναι οι ολιγάρχες. 

Εκεί που επιμένουμε εμείς, και θα επιμείνουμε περισσότερο, σε ένα ερώτημα: οι υγιείς φίλαθλοι, που πλήρωσαν δικό τους εισιτήριο, ένα διαρκείας, από ποιόν θα αποζημιωθούν ; από τον κο. Μητσοτάκη;"
