Title,Description
Για την Παγκόσμια Ημέρα Μεταναστών | 18 Δεκέμβρη,"""Η φετινή Παγκόσμια Ημέρα Μετανάστη σημαδεύεται από την ανηλεή σφαγή του Παλαιστινιακού λαού από το κράτος - δολοφόνο του Ισραήλ και τον βίαιο ξεριζωμό χιλιάδων ανθρώπων, από τη συνέχιση του ιμπεριαλιστικού πολέμου στο έδαφος της Ουκρανίας με εκατομμύρια πρόσφυγες.

Ταυτόχρονα, συμπληρώνονται 6 μήνες από το πολύνεκρο ναυάγιο ξεριζωμένων ανοιχτά της Πύλου. Το ΚΚΕ απαιτεί την άμεση απόδοση όλων των ευθυνών για τον άδικο θάνατο εκατοντάδων ανθρώπων, ανυπεράσπιστων παιδιών. Επισημαίνει τους τεράστιους κινδύνους από την ενίσχυση της πολιτικής καταστολής της ΕΕ και των κρατών - μελών, που θα οδηγήσουν σε νέες παρόμοιες τραγωδίες και εκατόμβες νεκρών"".

Διαβάστε ολόκληρη την ανακοίνωση του Γραφείου Τύπου της ΚΕ του ΚΚΕ:
https://www.rizospastis.gr/page.do?publDate=16/12/2023&id=19546&pageNo=15"
Δυνατή «Λαϊκή Συσπείρωση» παντού! Σύγκρουση με την αντιλαϊκή πολιτική!,"Οι υποψήφιοι της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ ψήφισαν και εφάρμοσαν τις «κυβερνητικές στοχεύσεις» και τα «αναπτυξιακά σχέδια» σε Περιφέρειες και Δήμους. 

Ψηφίζουμε αυτούς που συγκρούονται με τους κυβερνητικούς στόχους και την ανάπτυξη για τους λίγους!

Την Κυριακή, σε Περιφέρειες και Δήμους ψηφίζουμε Λαϊκή Συσπείρωση"
Δεν απέχουμε! Ψηφίζουμε Λαϊκή Συσπείρωση στους δήμους & τις Περιφέρειες,"Από τον αγώνα για τις ανάγκες των πολλών...
Την καταδίκη της εγκληματικής πολιτικής του κέρδους...
Την διεκδίκηση έργων για την προστασία της ζωής του λαού...
ΔΕΝ ΑΠΕΧΟΥΜΕ!
ΨΗΦΙΖΟΥΜΕ ΛΑΪΚΗ ΣΥΣΠΕΙΡΩΣΗ
ΣΕ ΔΗΜΟΥΣ ΚΑΙ ΠΕΡΙΦΕΡΕΙΕΣ"
ΨΗΦΙΖΟΥΜΕ ΛΑΪΚΗ ΣΥΣΠΕΙΡΩΣΗ ΣΤΟΥΣ ΔΗΜΟΥΣ & ΤΙΣ ΠΕΡΙΦΕΡΕΙΕΣ,"Αρκετά με το ""πάμε κι όπου βγει"".
Ή με τα κέρδη των λίγων, ή με τις ανάγκες των πολλών.
Στις 8 Οκτώβρη ψηφίζουμε ΛΑΪΚΗ ΣΥΣΠΕΙΡΩΣΗ στους δήμους και τις Περιφέρειες."
Νίκος Ζαχαριάδης 1903-1973 | ΚΚΕ,"Εισαγωγικό βίντεο, που προβλήθηκε στην εκδήλωση για τα 50 χρόνια από τον θάνατο του Νίκου Ζαχαριάδη, με ομιλήτρια την Αλέκα Παπαρήγα, μέλος της ΚΕ του ΚΚΕ. Τρίτη 25 Ιούλη 2023. Έδρα της ΚΕ του ΚΚΕ. 

.................................................................................

""Το ΚΚΕ ήταν και παραμένει το κόμμα μου και κανείς δεν μπορεί να το χτυπήσει και να το λερώσει, χρησιμοποιώντας το όνομά μου. (...) 
Το κουκουέδικό πέρασε πολλές αντάρες και μπόρες, όμως να το ξεριζώσει κανείς δεν μπόρεσε γιατί αφτό θα σήμαινε να ξεριζώσει 
τον ίδιο το λαό"".
Νίκος Ζαχαριάδης
Γραμματέας της ΚΕ του ΚΚΕ από το 1931 ως το 1935 & Γενικός Γραμματέας της έως το 1956.

#ΚΚΕ"
Βίντεο που προβλήθηκε στην μεγάλη συγκέντρωση του ΚΚΕ στο Σύνταγμα,"Βίντεο που προβλήθηκε στην κεντρική προεκλογική συγκέντρωση του ΚΚΕ στην Αθήνα. 21 Ιουνίου 2023


Η πολιτεία χαμογέλασε, χαμογελάσαν οι γειτονιές του τίμιου ιδρώτα, οι γειτονιές οι γυμνασμένες στον θυμό και την οργή, οι γειτονιές οι γυμνασμένες στον αγώνα!

Η ραχοκοκαλιά της πολιτείας τρίζει από το βάρος του παρόντος. Κάθε χαλκάς που κλείνει, δένεται στα πόδια σου, αδερφέ μου.
Όταν κλείνει ένας χαλκάς κάνουν πως δεν ακούν, κοιτάνε αλλού αυτοί που φταίνε.

Όμως αυτοί που περνάνε με τη μεγάλη σκάλα στον ώμο τους, αυτοί ακούνε. Ακούνε το χαλκά που κλείνει και το χαλκά που σπάει. Ακούνε και σένανε που δεν ακούς και σένα που θα ακούσεις.
Η πολιτεία θα χαμογελάσει και πάλι. Η πολιτεία επιμένει με όλο το μέλλον της φωταγωγημένο!
ΚΚΕ. Κοιτάμε στη σωστή μεριά του ορίζοντα!
Μεγαλώνουμε το μπόι μας!


#ΤΩΡΑ_ΚΚΕ #εκλογές2023 #ΚΚΕ
http://ekloges.kke.gr
http://www.902.gr"
Τώρα ΚΚΕ | Δύναμη και ελπίδα του λαού!,"Στιγμιότυπα από την μεγαλειώδη  προεκλογική συγκέντρωση του ΚΚΕ στην Αθήνα, στις 21/6/2023.

Δίνουμε τη μάχη μέχρι το τελευταίο λεπτό! Όλοι, σαν «ένας άνθρωπος», για να πάει ακόμα πιο ψηλά το ΚΚΕ!

#ΤΩΡΑ_ΚΚΕ #εκλογές2023 #ΚΚΕ
http://ekloges.kke.gr
http://www.902.gr"
ΟΛΟΙ ΣΗΜΕΡΑ ΣΤΟ ΣΥΝΤΑΓΜΑ 20.30 | ΠΙΟ ΔΥΝΑΤΟ ΚΚΕ,"Στις εκλογές στις 25 Ιουνίου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
#ΤΩΡΑ_ΚΚΕ#εκλογές2023#ΚΚΕ
http://ekloges.kke.gr
http://www.902.gr"
"Πιο δυνατό ΚΚΕ | Κάναμε το βήμα, τολμάμε το άλμα","Στις εκλογές στις 25 Ιουνίου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
#ΤΩΡΑ_ΚΚΕ#εκλογές2023#ΚΚΕ
http://ekloges.kke.gr
http://www.902.gr

Στις προηγούμενες εκλογές το αισιόδοξο μήνυμα ήρθε από μόλις ένα βήμα:
την άνοδο του ΚΚΕ.
Στις 25 Ιουνίου τολμάμε το άλμα, ανεβάζουμε το ΚΚΕ ακόμη πιο ψηλά!
Γιατί το Κομμουνιστικό Κόμμα Ελλάδας ξέρει και μπορεί, να κάνει γνήσια αντιπολίτευση για το λαό, μαζί με τον λαό.
Έχοντας αυτό στην σκέψη μας, με σιγουριά, ρίχνουμε περισσότερο κόκκινο στην νύχτα.
Με δυνατό ΚΚΕ, η ελπίδα είναι εδώ.
Γιατί μπορούμε να πάμε αλλιώς, να γίνει η ανάγκη Ιστορία.
Να ανθίσει το χαμόγελο στα χείλη των εργαζομένων, όλων των αδικημένων.
Με το ΚΚΕ μπορούμε να τα καταφέρουμε!"
ΤΕΤΑΡΤΗ 21 ΙΟΥΝΗ ΟΛΟΙ ΣΤΟ ΣΥΝΤΑΓΜΑ | ΚΟΚΚΙΝΙΖΟΥΜΕ ΤΗΝ ΑΘΗΝΑ,"ΠΡΟΕΚΛΟΓΙΚΗ ΣΥΓΚΕΝΤΡΩΣΗ ΤΟΥ ΚΚΕ ΣΤΟ ΣΥΝΤΑΓΜΑ. 
ΤΕΤΑΡΤΗ 21 ΙΟΥΝΗ | ΩΡΑ 20.30.

Στις εκλογές στις 25 Ιουνίου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
#ΤΩΡΑ_ΚΚΕ#εκλογές2023#ΚΚΕ
http://ekloges.kke.gr
http://www.902.gr"
