Title,Description
Κυριάκος Μητσοτάκης: Με αυστηρά κριτήρια η λειτουργία των μη κρατικών πανεπιστημίων,"Κυριάκος Μητσοτάκης: Με αυστηρά κριτήρια η λειτουργία των μη κρατικών πανεπιστημίων

Από τη σημερινή ατζέντα του Υπουργικού Συμβουλίου θέλω να σταθώ σε μια πραγματικά ιστορική μεταρρύθμιση στην παιδεία και ειδικά στην ανώτατη εκπαίδευση: την ίδρυση των μη κρατικών ιδρυμάτων τριτοβάθμιας εκπαίδευσης. Την ίδια ώρα που η δημόσια τριτοβάθμια εκπαίδευση απελευθερώνεται από τη γραφειοκρατία, τα μη κρατικά πανεπιστήμια έρχονται ουσιαστικά να αποκαταστήσουν μία ιστορική εκπαιδευτική ανορθογραφία. Κι αυτό γιατί παραμένουμε μία από τις ελάχιστες χώρες του πλανήτη που συνεχίζουμε να υψώνουμε τέτοια τείχη στην εκπαίδευση.

Πρόκειται για μια μεταρρύθμιση που δίνει την προοπτική ο τόπος μας να καταστεί κέντρο προσέλκυσης φοιτητών από το εξωτερικό, ενώ ταυτόχρονα συμβάλλει έτσι ώστε να μείνουν στην πατρίδα, να σπουδάσουν και να εργαστούν πολλοί από τους 40.000 νέους οι οποίοι αναζητούν κάθε χρόνο σπουδές στο εξωτερικό. Ενισχύουμε ακόμα περισσότερο το δημόσιο πανεπιστήμιο και ταυτόχρονα διαμορφώνουμε το πλαίσιο ώστε να λειτουργήσουν επιτέλους και στην Ελλάδα μη κερδοσκοπικά, μη κρατικά ιδρύματα τριτοβάθμιας εκπαίδευσης.

Με την τελευταία συνεδρίαση του Υπουργικού Συμβουλίου για το 2023 αφήνουμε πίσω μας μία χρονιά με πολλές και σύνθετες προκλήσεις, αλλά και μία χρονιά με σημαντικές κατακτήσεις, που σφραγίζει η επίτευξη του στόχου της επενδυτικής βαθμίδας. Κλείνει έτσι οριστικά ένας κύκλος κρίσεων και πιστεύω ότι ανοίγει οριστικά ο δρόμος της σταθερής και διατηρήσιμης ανάπτυξης."
Αναβαθμίζουμε την τεχνική και επαγγελματική εκπαίδευση στη χώρα μας,"Η στήριξη της τεχνικής και επαγγελματικής εκπαίδευσης αποτελεί το μεγάλο στοίχημα της εκπαιδευτικής μας πολιτικής. 

Δικό μας χρέος είναι να γνωρίζουν τα παιδιά ότι εφόσον επιλέξουν αυτόν τον δρόμο θα έχουν την καλύτερη δυνατή εκπαίδευση θεωρητική και πρακτική."
Εκδήλωση για την Επαγγελματική Εκπαίδευση και Κατάρτιση στο Πρότυπο Επαγγελματικό Λύκειο Περάματος,Εκδήλωση για την Επαγγελματική Εκπαίδευση και Κατάρτιση στο Πρότυπο Επαγγελματικό Λύκειο Περάματος
Κυριάκος Μητσοτάκης:Εισάγουμε επιτέλους και στην Ελλάδα τη λειτουργία μη κρατικών ανώτατων ιδρυμάτων,Κυριάκος Μητσοτάκης:Εισάγουμε επιτέλους και στην Ελλάδα τη λειτουργία μη κρατικών ανώτατων ιδρυμάτων
Κυριάκος Μητσοτάκης: Συνάντηση με εγκαυματίες και τους συνιδρυτές της Ελληνικής Οργάνωσης «Salvia»,Κυριάκος Μητσοτάκης: Συνάντηση με εγκαυματίες και τους συνιδρυτές της Ελληνικής Οργάνωσης «Salvia»
Κυριάκος Μητσοτάκης: Μετά την ολοκλήρωση των εργασιών της Συνόδου του Ευρωπαϊκού Συμβουλίου,Κυριάκος Μητσοτάκης: Μετά την ολοκλήρωση των εργασιών της Συνόδου του Ευρωπαϊκού Συμβουλίου
Κυριάκος Μητσοτάκης: Explainer COP28 στο Ντουμπάι,Κυριάκος Μητσοτάκης: Explainer COP28 στο Ντουμπάι
Κυριάκος Μητσοτάκης: Παρουσίαση της πρώτης εφαρμογής Τεχνητής Νοημοσύνης στο gov.gr,Κυριάκος Μητσοτάκης: Παρουσίαση της πρώτης εφαρμογής Τεχνητής Νοημοσύνης στο gov.gr
Κυριάκος Μητσοτάκης: Δηλώσεις στη Μεταμόρφωση Καρδίτσας,Κυριάκος Μητσοτάκης: Δηλώσεις στη Μεταμόρφωση Καρδίτσας
Κυριάκος Μητσοτάκης: Δηλώσεις με τον Προέδρο της Τουρκίας Recep Tayyip Erdoğan,Κυριάκος Μητσοτάκης: Δηλώσεις με τον Προέδρο της Τουρκίας Recep Tayyip Erdoğan
Κυριάκος Μητσοτάκης: Κλείνουμε τα «παραθυράκια» φοροδιαφυγής σε πολλά και διαφορετικά επίπεδα,Κυριάκος Μητσοτάκης: Κλείνουμε τα «παραθυράκια» φοροδιαφυγής σε πολλά και διαφορετικά επίπεδα
Κυριάκος Μητσοτάκης: Παράταση μέχρι τις 12 Δεκεμβρίου #youthpass,Κυριάκος Μητσοτάκης: Παράταση μέχρι τις 12 Δεκεμβρίου #youthpass
Κυριάκος Μητσοτάκης: Συζήτηση με γονείς παιδιών με αναπηρία,Κυριάκος Μητσοτάκης: Συζήτηση με γονείς παιδιών με αναπηρία
Κυριάκος Μητσοτάκης: Παρέμβαση στη σύνοδο της 28ης Διάσκεψης του ΟΗΕ για την Κλιματική Αλλαγή,Κυριάκος Μητσοτάκης: Παρέμβαση στη σύνοδο της 28ης Διάσκεψης του ΟΗΕ για την Κλιματική Αλλαγή
Κυριάκος Μητσοτάκης: Μέχρι τις 5 Δεκεμβρίου #youthpass,Κυριάκος Μητσοτάκης: Μέχρι τις 5 Δεκεμβρίου #youthpass
"Kyriakos Mitsotakis: Fireside chat with Yossi Matias, Vice President, Engineering & Research, Google","Kyriakos Mitsotakis: Fireside chat with Yossi Matias, Vice President, Engineering & Research, Google"
Κυριάκος Μητσοτάκης: Δηλώσεις με την Προέδρο της Δημοκρατίας Κ. Σακελλαροπούλου,"Κυριάκος Μητσοτάκης: Δηλώσεις με την Προέδρο της Δημοκρατίας Κ. Σακελλαροπούλου

Συναντήθηκα σήμερα με την Πρόεδρο της Δημοκρατίας, την οποία ενημέρωσα για μια σειρά από σημαντικές μεταρρυθμιστικές πρωτοβουλίες τις οποίες έχει αναλάβει η Κυβέρνηση.

Μεταξύ αυτών, οι σημαντικές παρεμβάσεις για την αντιμετώπιση του προβλήματος της φοροδιαφυγής. Αποδίδω μεγάλη σημασία στην έννοια της φορολογικής δικαιοσύνης και θέλω να τονίσω ότι τα όποια πρόσθετα έσοδα από την αντιμετώπιση της φοροδιαφυγής κατευθύνονται πάντα σε δαπάνες οι οποίες στηρίζουν το κοινωνικό κράτος.

Επίσης, μια ακόμα σημαντική μεταρρυθμιστική πρωτοβουλία αφορά τα ζητήματα της απονομής της Δικαιοσύνης. Ο Υπουργός ανακοίνωσε παρεμβάσεις στον Ποινικό Κώδικα και στον Κώδικα Ποινικής Δικονομίας, με σκοπό αφενός να αντιμετωπίσουμε τη μάστιγα της ατιμωρησίας, αλλά και τα σημαντικά ζητήματα που έχουν να κάνουν με την καθυστέρηση στην απονομή της Δικαιοσύνης."
Κυριάκος Μητσοτάκης: Σήμερα σπάμε όλοι μαζί τη σιωπή,"Κυριάκος Μητσοτάκης: Σήμερα σπάμε όλοι μαζί τη σιωπή

Σήμερα σπάμε όλοι μαζί τη σιωπή. Σήμερα, Διεθνή Ημέρα για την εξάλειψη της Βίας κατά των Γυναικών, ρίχνουμε μαζί φως σε μια εμπειρία που μπορεί να την ζει αυτή τη στιγμή μία γυναίκα στον περίγυρό μας: Η συνάδελφος. Η γειτόνισσα. Η μαμά στο σχολείο. Η ασθενής στο νοσοκομείο που «έπεσε και χτύπησε». 

Σήμερα συζητάμε για την κακοποίηση. Για το πώς τη βιώνει μία γυναίκα, και πώς στο τέλος καταφέρνει να αποδράσει. Για το πώς ξεκινάει η κακοποιητική συμπεριφορά. Για το ότι οι θύτες δεν χωράνε σε κάποιο κλισέ. Για το πώς οι θύτες ρίχνουν το φταίξιμο στο θύμα. Για το πώς, δυστυχώς, η κοινωνία μερικές φορές αποστρέφει το βλέμμα αντί να απλώσει χείρα βοηθείας. Αλλά και για τα εργαλεία που δίνει η Πολιτεία για να βοηθήσει μία γυναίκα να βγει από τον κύκλο της βίας.

Αυτή είναι μία μόνο από τις πολλές εμπειρίες γυναικών εκεί έξω. Είναι μία ιστορία γενναιότητας και δύναμης. Μία γυναίκα που βρήκε τελικά τη στήριξη που είχε ανάγκη σε ένα συμβουλευτικό κέντρο στήριξης γυναικών. Και στη συνέχεια βρήκε τη δύναμη να φύγει. 

Σε κάθε μία από τις γυναίκες που σήμερα ζουν κακοποίηση και βία, θέλω να τους πω ότι δεν είναι μόνες. Υπάρχουν δομές, υπάρχουν συμβουλευτικά κέντρα και γραφεία αντιμετώπισης ενδοοικογενειακής βίας στην Αστυνομία. Υπάρχει η 24ωρη τηλεφωνική γραμμή SOS 15900, και η εφαρμογή Panic Button. 

Και θέλω να ξέρουν πως όταν είναι έτοιμες να κάνουν το πρώτο βήμα, η Πολιτεία θα είναι δίπλα τους."
Κυριάκος Μητσοτάκης: Πρόγραμμα «Εθνική Δράση κατά της Παιδικής Παχυσαρκίας στην Ελλάδα»,"Κυριάκος Μητσοτάκης: Πρόγραμμα «Εθνική Δράση κατά της Παιδικής Παχυσαρκίας στην Ελλάδα»

Το πρόβλημα της παιδικής παχυσαρκίας στη χώρα μας με απασχολούσε έντονα εδώ και πολλά χρόνια. Είμαι λοιπόν πολύ χαρούμενος που ένα προσωπικό μου όραμα μεταφράζεται επιτέλους σε πράξη, με το Πρόγραμμα «Εθνική Δράση κατά της Παιδικής Παχυσαρκίας στην Ελλάδα»."
Κυριάκος Μητσοτάκης: Συμμετοχή σε συζήτηση με τίτλο «Ο ρόλος του τουρισμού στο μέλλον της Ελλάδας»,Κυριάκος Μητσοτάκης: Συμμετοχή σε συζήτηση με τίτλο «Ο ρόλος του τουρισμού στο μέλλον της Ελλάδας»
Κυριάκος Μητσοτάκης: Δηλώσεις με τον Καγκελάριο της Γερμανίας Olaf Scholz,Κυριάκος Μητσοτάκης: Δηλώσεις με τον Καγκελάριο της Γερμανίας Olaf Scholz
Κυριάκος Μητσοτάκης: Δηλώσεις με τον Προέδρο της Κυπριακής Δημοκρατίας Ν. Χριστοδουλίδη,"Κυριάκος Μητσοτάκης: Δηλώσεις με τον Προέδρο της Κυπριακής Δημοκρατίας Ν. Χριστοδουλίδη

Δηλώσεις με τον Πρόεδρο της Κυπριακής Δημοκρατίας, Νίκο Χριστοδουλίδη, μετά την ολοκλήρωση των εργασιών της Ολομέλειας της 1ης Διακυβερνητικής Συνόδου Ελλάδας - Κυπριακής Δημοκρατίας."
Kyriakos Mitsotakis: Address at the International Humanitarian Conference for Gaza in Paris,Kyriakos Mitsotakis: Address at the International Humanitarian Conference for Gaza in Paris
Κυριάκος Μητσοτάκης: Χρόνια Πολλά στην Πολεμική μας Αεροπορία,"Κυριάκος Μητσοτάκης: Χρόνια Πολλά στην Πολεμική μας Αεροπορία

Ημέρα υπερηφάνειας, ημέρα τιμής, ημέρα συγκίνησης για τις γυναίκες και τους άνδρες της Πολεμικής μας Αεροπορίας. Για όλους εκείνους που καθημερινά δίνουν τον καλύτερό τους εαυτό και διακινδυνεύουν τη ζωή τους για την πατρίδα.

Σας είμαστε ευγνώμονες."
Kyriakos Mitsotakis: Statement with President of the People’s Republic of China Xi Jinping,Kyriakos Mitsotakis: Statement with President of the People’s Republic of China Xi Jinping
Κυριάκος Μητσοτάκης: Πράγματα που ίσως να μην ξέρατε για το Υπουργικό Συμβούλιο,Κυριάκος Μητσοτάκης: Πράγματα που ίσως να μην ξέρατε για το Υπουργικό Συμβούλιο
Κυριάκος Μητσοτάκης: Τι γίνεται στις Βρυξέλλες;,Κυριάκος Μητσοτάκης: Τι γίνεται στις Βρυξέλλες;
Κυριάκος Μητσοτάκης: Με τον Francis Fukuyama στο 27ο Συνέδριο Economist Government Roundtable,Κυριάκος Μητσοτάκης: Με τον Francis Fukuyama στο 27ο Συνέδριο Economist Government Roundtable
