Title,Description
"Κοινοβουλευτικό Έργο Ανδρέα Βορύλλα, μέλους της Διαρκούς Επιτροπής Οικονομικών Υποθέσεων της Βουλής","Αποσπάσματα ομιλιών του Ανδρέα Βορύλλα, μέλους της Διαρκούς Επιτροπής Οικονομικών Υποθέσεων της Βουλής και βουλευτή Β2 Δυτικού Τομέα Αθηνών της ΝΙΚΗΣ, μεταξύ άλλων για ΤΑΙΠΕΔ, Κόκκινα Δάνεια, Πληθωρισμό, Φορολογία Ελεύθερων Επαγγελματιών, Δημόσιο Χρέος, Υπογεννητικότητα και ίδρυση Γεωργικού και Κτηνοτροφικού Πανεπιστημίου στην Θεσσαλία."
"""Όλα τα έργα έχουν φαγοπότι"": Η επιτομή της κομματοκρατίας στην Εξεταστική για τα ΤΕΜΠΗ","""Όλα τα έργα έχουν φαγοπότι"".
Αυτή είναι η επιτομή της κομματοκρατίας, σε μία φράση μάρτυρα της Εξεταστικής Επιτροπής για τα ΤΕΜΠΗ, τον οποίο πρότεινε η ΝΔ, απαντώντας σε ερώτηση του βουλευτή της ΝΙΚΗΣ κ. Τάσου Οικονομόπουλου.


Εδώ παρακολουθήστε όλο το βίντεο με τις ερωτήσεις του κ. Τάσου Οικονομόπουλου στην Εξεταστική Επιτροπή στις 18.12.2023:
https://www.youtube.com/watch?v=gMHPI-gjhes&t=5s"
Τέμπη: Η ΝΙΚΗ ξεκίνησε να ξετυλίγει το κουβάρι της διαφθοράς!,"ΟΣΕ και ΕΡΓΟΣΕ είναι συνυπεύθυνοι για την εγκληματική έλλειψη συντήρησης στο σύστημα τηλεδιοίκησης!

Τα ερωτήματα είναι αμείλικτα και γυρεύουν απάντηση: 
Σε ποιες τεχνικές ασφαλείας στηρίχτηκε η Διοίκηση του ΟΣΕ για να επιτραπεί να κατεβάσει τους χρόνους κατά 2 ώρες στη διαδρομής Αθήνα – Θεσσαλονίκη; 
Στο δυστύχημα των Τεμπών ήταν επαρκής ο αριθμός εργαζομένων ώστε να τηρηθεί ο κανονισμός ασφαλείας;
Φταίει μόνο ο σταθμάρχης ή φταίνε και αυτοί που δεν φρόντισαν για την σωστή στελέχωση του προσωπικού;
Τι προδιαγραφές είχε το σύστημα παρακολούθησης στο χώρο του δυστυχήματος, ποιος το συντηρούσε και γιατί δεν λειτουργούσε;

Ερωτήσεις του Τάσου Οικονομόπουλου, βουλευτή Α΄ Ανατολικής Αττικής της ΝΙΚΗΣ, στην Εξεταστική Επιτροπή για την «Διερεύνηση του εγκλήματος των Τεμπών και όλων των πτυχών που σχετίζονται με αυτό». Απαντούν οι Κωνσταντίνος Γιαννακός, Διευθύνων Σύμβουλος ΟΣΕ 2001-2005 και Χρήστος Τσίτουρας, Διευθύνων Σύμβουλος και Γενικός Δ/ντης ΕΡΓΟΣΕ 1996-2004 (18.12.2023)."
"Προκλητικές αυξήσεις σε εξωκοινοβουλευτικούς υπουργούς, πενιχρές οι απολαβές των ιατρών","Με αφορμή το περιστατικό του σοβαρού τραυματισμού του αστυνομικού στο γήπεδο του Ρέντη και του θανάτου του αστυνομικού στον Ασπρόπυργο είναι ανάγκη να δοθεί προσοχή στις σημαντικές ελλείψεις στο ΕΣΥ. 
Συμβαίνει το παράδοξο να δίνονται κίνητρα σε ηλικιωμένους γιατρούς για να παρατείνουν την παραμονή τους στην εργασία τους αντί να δοθούν κίνητρα στους νέους ιατρούς να εργαστούν στον τόπο τους. 
Είναι πενιχρές οι απολαβές των υγειονομικών σε αντίθεση με την προκλητική αύξηση των απολαβών των εξωκοινοβουλευτικών υπουργών και υφυπουργών. Η πολιτεία οφείλει να αποδώσει στους μαχόμενους ιατρούς σταθερό εργασιακό περιβάλλον και ευπρεπείς αποδοχές. 

Ομιλία του Ανδρέα Βορύλλα, βουλευτή Β2 Δυτικού Τομέα Αθηνών της ΝΙΚΗΣ, στην Ολομέλεια της Βουλής για το σχέδιο νόμου του Υπουργείου Εθνικής Οικονομίας και Οικονομικών «Οργανωτικές και διαδικαστικές διατάξεις για την ανάπτυξη, παρεμβάσεις για την ενίσχυση της δίκαιης αναπτυξιακής μετάβασης και άλλες επείγουσες διατάξεις» (19/12/2023)."
Σας ενδιαφέρει η ατζέντα του Νταβός και όχι ο λαός!,"Αποσύρθηκε από το Ελληνικό Γενικό Προξενείο της Νέας Υόρκης το κουρελούργημα το οποίο διακωμωδούσε την ελληνική σημαία. Είναι μία μικρή νίκη εναντίον της αφιλοπατρίας και του αφελληνισμού.
Προωθείτε δουλειές, που θα αναγκάσουν τον Έλληνα να τσακίζει τη μέση του υπηρετώντας τους καλοζωισμένους συνταξιούχους του ευρωπαϊκού βορρά οι οποίοι μέσω κάποιον funds θα έχουν αγοράσει την περιουσία του ελληνικού λαού.
Ευτυχώς υπάρχει η ΝΙΚΗ που εκφράζει τη Ρωμιοσύνη, που υπηρετεί τον ελληνικό λαό και θα σταματήσει την δημογραφική κατάρρευση του έθνους μας, με τη γέννηση Ελλήνων και την επαναφορά τον ξεριζωμένων από το εξωτερικό και όχι με την αθρόα προσέλευση παράνομων μεταναστών.

Ομιλία του Δημήτρη Νατσιού, προέδρου της ΝΙΚΗΣ, στην Ολομέλεια της Βουλής για το σχέδιο νόμου του Υπουργείου Εργασίας και Κοινωνικής Ασφάλισης «Αναμόρφωση επαγγελματικής ασφάλισης, εξορθολογισμός ασφαλιστικής νομοθεσίας, συνταξιοδοτικές ρυθμίσεις, σύστημα διορισμού και προσλήψεων των εκπαιδευτικών της δημόσιας υπηρεσίας απασχόλησης και λοιπές διατάξεις» (19/12/2023)."
Απαιτείται πολιτική βούληση και αναζήτηση των αιτιών για την εξάλειψη της οπαδικής βίας,"Καταγράφονται συνεχώς περιστατικά οπαδικής βίας σε κάθε γωνιά της πατρίδας μας και ιδιαίτερα στα αστικά κέντρα. Απαιτείται πολιτική βούληση για να εξαλειφθούν αυτά τα θλιβερά φαινόμενα ώστε να μην θρηνήσουμε άλλα θύματα. 
Η ΝΙΚΗ προτείνει να μη βλέπουμε το θέμα μεμονωμένα αλλά να δούμε τι οδηγεί τους νέους και τις νέες σε δολοφονικές επιθέσεις. Μήπως η ακραία φτώχεια επέτρεψε να γίνουν θύματα επιτηδείων  οι οποίοι έχουν αναγάγει την αθλητική βία σε επάγγελμα και βιοποριστικό μέσο; Τι παράδειγμα τους δίνουμε εμείς εδώ στο κοινοβούλιο με τον τρόπο που μιλάμε και τσακωνόμαστε;

Ομιλία του Ανδρέα Βορύλλα, βουλευτή Β2 Δυτικού Τομέα Αθηνών της ΝΙΚΗΣ, στην επιτροπή οικονομικών υποθέσεων για το Σ/Ν του Υπουργείου Εθνικής Οικονομίας και Οικονομικών: ""Οργανωτικές και διαδικαστικές διατάξεις για την ανάπτυξη, παρεμβάσεις για την ενίσχυση της δίκαιης αναπτυξιακής μετάβασης και άλλες επείγουσες διατάξεις"" (18.12.2023)."
Κλείσιμο του ματιού στην ιδιωτική ασφάλιση,"Το παρόν ασφαλιστικό νομοσχέδιο δεν λύνει βασικά προβλήματα των εργαζομένων και κλείνει το μάτι στην ιδιωτική ασφάλιση. 
Υψηλοί συντελεστές φορολόγησης απειλούν τα ταμεία οδηγώντας τα σε κατάρρευση.
Οι νέοι ωθούνται στην μετανάστευση και οι ηλικιωμένοι που κοντεύουν να συνταξιοδοτηθούν, σε παράταση της εργασίας.
Παράλληλα θεσπίζεται η άνευ όρων νομιμοποίηση των λαθρομεταναστών και η χώρα μας καθίσταται ως η πιο ελκυστική στην παράνομη μετανάστευση .

Ομιλία του Κομνηνού Δελβερούδη, βουλευτή Πιερίας της ΝΙΚΗΣ, για το νομοσχέδιο του Υπουργείου Εργασίας και Κοινωνικής Ασφάλισης με τίτλο «Αναμόρφωση επαγγελματικής ασφάλισης, εξορθολογισμός ασφαλιστικής νομοθεσίας, συνταξιοδοτικές ρυθμίσεις, σύστημα διορισμού και προσλήψεων των εκπαιδευτικών της δημόσιας υπηρεσίας απασχόλησης και λοιπές διατάξεις» (18.22.23)."
Καμία συναίνεση στην τροπολογία για το μεταναστευτικό,"Η κυβέρνηση μας μιλά για άρση των αδικιών στο ασφαλιστικό αλλά δυστυχώς με την πολιτική της πάντα θα υπάρχουν οι είλωτες που επωμίζονται όλο το βάρος των αδικιών και οι προνομιούχοι που δεν πληρώνουν ποτέ.
Όσον αφορά στην τροπολογία Καιρίδη, οι μεταναστευτικές ροές αυξήθηκαν το τελευταίο έτος κατά 300%,  γεγονός που καταδεικνύει αφενός την ανικανότητα της κυβέρνησης να τις ελέγξει, αφετέρου το μήνυμα που έλαβαν πολλοί ότι στην χώρα μας σχεδιάζεται η νομιμοποίηση της παράνομης μετανάστευσης.

Ομιλία του Νικόλαου Βρεττού, βουλευτή Β3 Νοτίου Τομέα Αθηνών της ΝΙΚΗΣ, για το νομοσχέδιο του Υπουργείου Εργασίας και Κοινωνικής Ασφάλισης με τίτλο «Αναμόρφωση επαγγελματικής ασφάλισης, εξορθολογισμός ασφαλιστικής νομοθεσίας, συνταξιοδοτικές ρυθμίσεις, σύστημα διορισμού και προσλήψεων των εκπαιδευτικών της δημόσιας υπηρεσίας απασχόλησης και λοιπές διατάξεις» (18.22.23)."
Επιλογή Διοικητή Πολιτικής Αεροπορίας,"Την κομματοκρατία αυτή που είναι η βασική αιτία της κακοδαιμονίας του νεοελληνικού κράτους, η ΝΙΚΗ αντιμάχεται σθεναρά και την αποκρούει, όπου τη συναντήσει.

Η εισήγηση του κ. Γεώργιου Αποστολάκη, βουλευτή Επικρατείας της ΝΙΚΗΣ, στη Ειδική Μόνιμη Επιτροπή Θεσμών και Διαφάνειας για το διορισμό στις θέσεις Διοικητή και Υποδιοικητών της Υπηρεσίας Πολιτικής Αεροπορίας (18/12/2023)."
Καιρίδης: ο Υπουργός της νομιμοποίησης των παράνομων μεταναστών,"Αιφνιδιαστική η τροπολογία της νομιμοποίησης των παράνομων μεταναστών, παρόλο που προεκλογικά ο κ. Μητσοτάκης είχε πει ότι δεν πρόκειται να προχωρήσει σε νομιμοποιήσεις. 
Κατόπιν επιλέγει ως υπουργό μεταναστευτικής πολιτικής για να συνομιλεί με την Τουρκία , τον άνθρωπο με τον πιο αντεθνικό και εθνομηδενιστικό λόγο. 
Οι βολές του κατά της ΝΙΚΗΣ ομοιάζουν με τα υβριστικά συνθήματα των αντιεξουσιαστών που επιτέθηκαν στον πρόεδρό μας, γεγονός το οποίο δεν έχει καταδικάσει ακόμα η κυβέρνηση.

Ομιλία του Σπύρου Τσιρώνη, βουλευτή Αχαΐας της ΝΙΚΗΣ, για το νομοσχέδιο του Υπουργείου Εργασίας και Κοινωνικής Ασφάλισης με τίτλο «Αναμόρφωση επαγγελματικής ασφάλισης, εξορθολογισμός ασφαλιστικής νομοθεσίας, συνταξιοδοτικές ρυθμίσεις, σύστημα διορισμού και προσλήψεων των εκπαιδευτικών της δημόσιας υπηρεσίας απασχόλησης και λοιπές διατάξεις» (18.22.23)."
