Title,Description
Χριστουγεννιάτικη επίσκεψη κλιμακίου της Κ.Ο.  «ΣΠΑΡΤΙΑΤΕΣ» στο Αναρρωτήριο Πεντέλης πρώην ΠΙΚΠΑ,21/12/2023
"Τοποθέτηση του Βουλευτή Αιτωλοακαρνανίας, Διονύση Βαλτογιάννη, στην Επιτροπή Οδικής Ασφάλειας",18/12/2023
"Ο Βουλευτής Α' Θεσσαλονίκης, Ι. Κόντης, κατά την εξέταση μάρτυρα στην Εξεταστική για έγκλημα Τεμπών",20/12/2023
"Ο Βουλευτής Α' Θεσσαλονίκης, Ιωάννης Κόντης, στην Εξεταστική Επιτροπή για το έγκλημα των Τεμπών",20/12/2023
Ο Βουλευτής Β' Θεσσαλονίκης Π. Δημητριάδης κατά την εξέταση μάρτυρα για διερεύνηση εγκλήματος Τεμπών,18/12/2023
"Βουλευτής Β' Θεσσαλονίκης, Π. Δημητριάδης κατά την Εξέταση μάρτυρα στη διερεύνηση εγκλήματος Τεμπών",18/12/2023
"Ομιλία Βουλευτή Β' Θεσσαλονίκης Π. Δημητριάδη, για το Σ/Ν του Υπ. Εργασίας και Κοινωνικής Ασφάλισης",18/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Π. Δημητριάδη για Σ/Ν του Υπ. Εργασίας και Κοινωνικής Ασφάλισης",18/12/2023
Ο Βουλευτής Β' Θεσσαλονίκης Π. Δημητριάδης κατά την εξέταση μάρτυρα για διερεύνηση εγκλήματος Τεμπών,19/12/2023
Ο Βουλευτής Β' Θεσσαλονίκης Π. Δημητριάδης κατά την εξέταση μάρτυρα για διερεύνηση εγκλήματος Τεμπών,19/12/2023
"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ι. Κόντη, για το Σ/Ν του Υπ. Εθνικής Οικονομίας και Οικονομικών",20/12/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Α. Χαλκιά, για το Σ/Ν του Υπ. Εθνικής Οικονομίας και Οικονομικών",20/12/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Α. Χαλκιά, για το Σ/Ν του Υπ.  Εθνικής Οικονομίας και Οικονομικών",19/12/2023
"Ομιλία του Βουλευτή Α΄Ανατ. Αττικής, Ιωάννη Δημητροκάλλη, στην Ειδική Επιτροπή Θεσμών και Διαφάνειας",18/12/2023
"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ι. Κόντη, για το Σ/Ν του Υπ. Εθνικής Οικονομίας και Οικονομικών",19/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Kόντη, για Σ/Ν του Υπ. Εργασίας & Κοινωνικής Ασφάλισης",19/12/2023
"Ο Πρόεδρος της Κ.Ο. «ΣΠΑΡΤΙΑΤΕΣ», Β. Στίγκας, στην εκπομπή «Πρωινές ματιές» στο web tv Avena 97,7",19/12/2023
"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για το Σ/Ν του Υπ. Εργασίας & Κοινωνικής Ασφάλισης",19/12/2023
"Απάντηση Προέδρου Κ.Ο. «ΣΠΑΡΤΙΑΤΕΣ», Β. Στίγκα, στην επιχείρηση λάσπης του «δικαστή» Άδωνι Γεωργιάδη",19/12/2023
"Μομφή Προέδρου Β. Στίγκα στον Γεωργιάδη, που αντιποιείται την άσκηση του δικαστικού λειτουργήματος",19/12/2023
"Παρέμβαση Προέδρου Κ.Ο. Βασίλειου Στίγκα, για την Τροπολογία περί αδειών παραμονής στους μετανάστες",18/12/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανασίου Χαλκιά, για την Τροπολογία του Υπ. Εργασίας για μετανάστες",18/12/2023
"Ομιλία Βουλευτή Β' Πειραιώς, Αλέξανδρου Ζερβέα, για το Σ/Ν του Υπ. Εργασίας & Κοινωνικής Ασφάλισης",18/12/2023
"Εμείς οι ΣΠΑΡΤΙΑΤΕΣ αντιστεκόμαστε, προασπιζόμενοι το παρόν και το μέλλον των παιδιών μας!",Κορίνα Τριανταφύλλου (Εκπρόσωπος Τύπου «ΣΠΑΡΤΙΑΤΕΣ»)
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, για την τροπολογία για άδειες παραμονής μεταναστών",18/12//2023
"Ομιλία Προέδρου της Κ.Ο. Βασίλειου Στίγκα,  για την τροπολογία για άδειες παραμονής στους μετανάστες",18/12/2023
Οι «ΣΠΑΡΤΙΑΤΕΣ» στις εορταστικές εκδηλώσεις εις Μνήμη των Προστατών της Πυροσβεστικής Υπηρεσίας,17/12/2023
Ομιλία του Βουλευτή Β' Θεσσαλονίκης Π. Δημητριάδη για την κύρωση του Κρατικού Προϋπολογισμού 2024,16/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Kόντη, για την κύρωση του Προϋπολογισμού 2024",17/12/2023
"Οι «ΣΠΑΡΤΙΑΤΕΣ» στο τελευταίο αντίο στον θρύλο της ΑΕΚ, Κώστα Νεστορίδη (Αγία Τριάδα Ν. Φιλαδέλφεια)",16/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Π. Δημητριάδη, για την κύρωση Κρατικού Προϋπολογισμού 2024",16/12/2023
"Δευτερολογία του Προέδρου, Βασίλειου Στίγκα, για την κύρωση του Προϋπολογισμού 2024",16/12/2023
