Title,Description
Καλή Χρονιά!,
Θέλησα να κάνω τις αόρατες διαδρομές στην πόλη. Τις διαδρομές των αστέγων.,"Ημέρες γιορτής στην Αθήνα. Θέλησα να κάνω τις αόρατες διαδρομές στην πόλη. Τις διαδρομές των αστέγων.

Με τον κύριο Μιχάλη, που γνώρισε πώς είναι να είσαι άστεγος στην πρωτεύουσα.
Και τον εκδότη του περιοδικού δρόμου «Σχεδία», Χρήστο Αλεφάντη. 

Ξεκινήσαμε από τον σταθμό του μετρό στο Μεταξουργείο, περάσαμε από το Πολυδύναμο Κέντρο Αστέγων (ξενώνας «Ionis»), Δεληγιώργη, Σοφοκλέους , Πειραιώς, Αγίων Αναργύρων…
Καταλήξαμε στο σπίτι της «Σχεδίας» (Κολοκοτρώνη & Νικίου), όπου μου έκαναν την τιμή να με βάλουν στο γιορτινό τραπέζι τους άστεγοι και πρώην άστεγοι συμπολίτες μας. 

Άνθρωποι που έχασαν τη γη κάτω απ’ τα πόδια τους και προσπαθούν να ξαναπιάσουν το νήμα της ζωής

Όταν θα γίνουμε κυβέρνηση, εθνικός στόχος θα είναι να εξαλειφθεί πλήρως η αστεγία.
Με σχέδιο. Προσήλωση. Οργάνωση.
Και θα το καταφέρουμε."
Κάλαντα Χριστουγέννων από τον Σύλλογο «Δικταίοι Καστρινοί»,"Με δύναμη από την Κρήτη, για όλη την Ελλάδα.
Χρόνια πολλά, υγεία για εσάς και τις οικογένειές σας, αλληλεγγύη και κοινωνική δικαιοσύνη για ένα καλύτερο αύριο."
Ομιλία στο Digital Economy Forum 2023: «Shaping Greece’s Digital Future» του ΣΕΠΕ,Ομιλία στο Digital Economy Forum 2023: «Shaping Greece’s Digital Future» του ΣΕΠΕ
Ομιλία στη συνεδρίαση της Κοινοβουλευτικής Ομάδας του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία,Ομιλία στη συνεδρίαση της Κοινοβουλευτικής Ομάδας του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία
Το φιλότιμο όμως δεν μπορεί να υποκαθιστά το Κράτος,"Μεσολόγγι.
Ζήτησα να δω την Αθηνά Παπαχρήστου. Τη «γιαγιά» όλων μας, που από το κομπόδεμά της αγόρασε ασθενοφόρο για το ΕΚΑΒ.

Την ευχαρίστησα για το φιλότιμό της. Το φιλότιμο όμως, το 2023, δεν μπορεί να υποκαθιστά το Κράτος. Το λέει κι εκείνη: «Θέλω να βγει ένας άνθρωπος, κάπως να ισάξει ετούτο το κράτος».

Ο Κυριάκος Μητσοτάκης της είχε τηλεφωνήσει να την ευχαριστήσει. Της είχε πει ότι θα πάει να τη δει. Η κυρία Αθηνά τού απάντησε: «Να ‘ρθεις αλλά πάρε και κανένα ασθενοφόρο»."
Συνέντευξη στην εκπομπή «Στο Κέντρο» και τον δημοσιογράφο Γιώργο Κουβαρά,"Η Κυβέρνηση υιοθέτησε τα δικά μας μέτρα, τα οποία ανακοίνωσα το Σάββατο στην Κ.Ε..
Είχε όμως την «έμπνευση» να προσθέσει σε αυτά τον αποκλεισμό όλων των φιλάθλων απ' όλους τους αγώνες για δυο μήνες. Είναι η κλασική προσέγγιση της Κυβέρνησης: Όταν δεν μπορεί να λύσει ένα θέμα, οριζόντιο μέτρο παντού.

*Συνέντευξη στην εκπομπή «Στο Κέντρο» και τον δημοσιογράφο Γιώργο Κουβαρά"
Ομιλία στη Συνεδρίαση της Κεντρικής Επιτροπής του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία,"Ομιλία του Προέδρου του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία, Στέφανου Κασσελάκη, στη Συνεδρίαση της Κεντρικής Επιτροπής."
Ομιλία στο 34th Annual Greek Economic Summit,"Ομιλία στο 34th Annual Greek Economic Summit που διοργανώνει το Ελληνο-Αμερικανικό Εμπορικό Επιμελητήριο στο Intercontinental.

Η κυβέρνηση δεν έμαθε τίποτα από αυτό που συνέβη στη χώρα. Με τις συνταγές που ζήσαμε στους σκοτεινούς καιρούς, επιβάλλει εθελοντικά λιτότητα τουλάχιστον μέχρι το 2026.
Μια ανάπτυξη τύπου Κ με τα κονδύλια του Ταμείου Ανάκαμψης και Ανθεκτικότητας (RRF) να πηγαίνουν σε λίγους και να φέρνουν ασθενική ανάπτυξη εις βάρος των πολλών, οι οποίοι θα βιώσουν δημοσιονομική ασφυξία με φόρους - ρεκόρ 25ετίας.

Χρειαζόμαστε τη φωνή της Διασποράς ως μοχλό πίεσης για την επιστροφή –επιτέλους- των κλεμμένων Γλυπτών του Παρθενώνα στο σπίτι τους. Χρειαζόμαστε τη φωνή της Διασποράς για να πιέσουμε την Τουρκία να σταματήσει να αμφισβητεί τα κυριαρχικά μας δικαιώματα. Και χρειαζόμαστε αυτή η φωνή της Διασποράς να εκφραστεί μέσω της επιστολικής ψήφου στις Ευρωεκλογές του Ιουνίου."
Η ζωή είναι ένα δώρο και τη ζεις χωρίς πρόβες,"Παγκόσμια ημέρα ατόμων με αναπηρία, υπάρχουν δύο δρόμοι: Να μιλήσει ένας πολιτικός «έξω απ’ το χορό». Ή να ακούσει.
Συνάντησα τη Μαρίνα Τριανταφυλλίδη, φιλόλογο, άτομο με οπτική αναπηρία. Πιστεύω ότι αν δείτε αποσπάσματα από την αφήγησή της, θα νιώσετε όπως ένιωσα κι εγώ.
Την ανάγκη να γίνουμε πραγματικά Ευρώπη, να προσφέρουμε προσβασιμότητα στα πάντα, στήριξη, παιδεία, εργασία, μία κοινωνία για όλους.
Από την πλευρά μας, δε θα σκεφτούμε ούτε ένα ευρώ, ώστε οι άνθρωποι με αναπηρία να έχουν αυτόνομες, ισότιμες ζωές. Αλλιώς, μια οικονομία για λίγους δεν έχει κανένα νόημα."
