Month,KKE_DKoutsoumpas,ND_KMitsotakis,NA-AHaritsis,SYRIZA-SKasselakis,PASOK-NAndroulakis,Plefsi-ZKonstantopoulou,EllinikiLysi-KVelopoulos,Spartiates-VStigas,NIKI-DNatsios
2007-06-30 00:00:00+00:00,,13,,,,,,,
2007-07-31 00:00:00+00:00,,6,,,,,,,
2007-08-31 00:00:00+00:00,,7,,,,,,,
2007-09-30 00:00:00+00:00,,10,,,,,,,
2007-10-31 00:00:00+00:00,,0,,,,,,,
2007-11-30 00:00:00+00:00,,0,,,,,,,
2007-12-31 00:00:00+00:00,,0,,,,,,,
2008-01-31 00:00:00+00:00,,9,,,,,,,
2008-02-29 00:00:00+00:00,,1,,,,,,,
2008-03-31 00:00:00+00:00,,4,,,,,,,
2008-04-30 00:00:00+00:00,,6,,,,,,,
2008-05-31 00:00:00+00:00,,0,,,,,,,
2008-06-30 00:00:00+00:00,,0,,,,,,,
2008-07-31 00:00:00+00:00,,0,,,,,,,
2008-08-31 00:00:00+00:00,,0,,,,,,,
2008-09-30 00:00:00+00:00,,0,,,,,,,
2008-10-31 00:00:00+00:00,,0,,,,,,,
2008-11-30 00:00:00+00:00,,5,,,,,,,
2008-12-31 00:00:00+00:00,,0,,,,,,,
2009-01-31 00:00:00+00:00,,2,,,,,,,
2009-02-28 00:00:00+00:00,,4,,,,,,,
2009-03-31 00:00:00+00:00,,4,,,,,,,
2009-04-30 00:00:00+00:00,,2,,,,,,,
2009-05-31 00:00:00+00:00,,2,,,,,,,
2009-06-30 00:00:00+00:00,,0,,,,,,,
2009-07-31 00:00:00+00:00,,3,,,,,,,
2009-08-31 00:00:00+00:00,,1,,,,,,,
2009-09-30 00:00:00+00:00,,4,,,,,,,
2009-10-31 00:00:00+00:00,,0,,,,,,,
2009-11-30 00:00:00+00:00,,1,,,,,,,
2009-12-31 00:00:00+00:00,,6,,,,,,,
2010-01-31 00:00:00+00:00,,3,,,,,,,
2010-02-28 00:00:00+00:00,,10,,,,,,,
2010-03-31 00:00:00+00:00,,1,,,,,,,
2010-04-30 00:00:00+00:00,,7,,,,,,,
2010-05-31 00:00:00+00:00,1.0,4,,,,,,,
2010-06-30 00:00:00+00:00,6.0,1,,,,,,,
2010-07-31 00:00:00+00:00,6.0,2,,,,,,,
2010-08-31 00:00:00+00:00,0.0,0,,,,,,,
2010-09-30 00:00:00+00:00,4.0,0,,,,,,,
2010-10-31 00:00:00+00:00,2.0,0,,,,,,,
2010-11-30 00:00:00+00:00,5.0,0,,,,,,,
2010-12-31 00:00:00+00:00,3.0,6,,,,,,,
2011-01-31 00:00:00+00:00,5.0,0,,,,,,,
2011-02-28 00:00:00+00:00,2.0,0,,,,,,,
2011-03-31 00:00:00+00:00,9.0,16,,,,,,,
2011-04-30 00:00:00+00:00,3.0,4,,,,,,,
2011-05-31 00:00:00+00:00,7.0,1,,,,,,,
2011-06-30 00:00:00+00:00,6.0,2,,,,,,,
2011-07-31 00:00:00+00:00,2.0,0,,,,,,,
2011-08-31 00:00:00+00:00,0.0,1,,,,,,,
2011-09-30 00:00:00+00:00,5.0,3,,,,,,,
2011-10-31 00:00:00+00:00,5.0,1,,,,,,,
2011-11-30 00:00:00+00:00,11.0,3,,,,,,,
2011-12-31 00:00:00+00:00,2.0,1,,,,,,,
2012-01-31 00:00:00+00:00,7.0,1,,,,,,,
2012-02-29 00:00:00+00:00,5.0,2,,,,,,,
2012-03-31 00:00:00+00:00,1.0,6,,,,,,,
2012-04-30 00:00:00+00:00,15.0,9,,,,,,,
2012-05-31 00:00:00+00:00,14.0,4,,,,,,,
2012-06-30 00:00:00+00:00,13.0,2,,,,,,,
2012-07-31 00:00:00+00:00,1.0,5,,,,,,,
